time_sec,joint_rShoulderPitch,joint_rShoulderRoll,joint_rShoulderYaw,joint_rElbow,joint_rWristRoll,joint_rWristPitch,joint_lShoulderPitch,joint_lShoulderRoll,joint_lShoulderYaw,joint_lElbow,joint_lWristRoll,joint_lWristPitch
0,-0.03490659,-1.168598,0.1745329,-1.22173,0.5235988,-0.2792527,0.03490658,-1.255865,-0.08726646,-1.186824,-0.4363324,-0.3141593
0.03333334,-0.03004528,-1.165357,0.1745329,-1.226592,0.5130649,-0.2792527,0.01582344,-1.242231,-0.1022657,-1.195405,-0.4507902,-0.3155109
0.06666667,-0.02185708,-1.159898,0.1745329,-1.23478,0.4945911,-0.2792527,-0.01664905,-1.218608,-0.1280573,-1.210328,-0.4756509,-0.3175291
0.1,-0.01113915,-1.152752,0.1745329,-1.245498,0.470277,-0.2792527,-0.06167479,-1.187458,-0.1622237,-1.229954,-0.5085845,-0.3200911
0.1333333,0.001310808,-1.144452,0.1745329,-1.257948,0.442228,-0.2792527,-0.1184527,-1.151249,-0.2023481,-1.252638,-0.547262,-0.3230742
0.1666667,0.01469372,-1.135531,0.1745329,-1.27133,0.4125609,-0.2792527,-0.1823663,-1.11245,-0.2460191,-1.276732,-0.5893592,-0.3263558
0.2,0.0282098,-1.126521,0.1745329,-1.284847,0.383395,-0.2792527,-0.2465255,-1.073528,-0.2908416,-1.300583,-0.6325663,-0.329813
0.2333333,0.04105902,-1.117956,0.1745329,-1.297696,0.3568465,-0.2792527,-0.3066713,-1.036931,-0.3308855,-1.322537,-0.6711666,-0.3333232
0.2666667,0.05244244,-1.110367,0.1745329,-1.30908,0.3350241,-0.2792527,-0.3584864,-1.007831,-0.3618717,-1.340947,-0.701036,-0.3367635
0.3,0.0615611,-1.104287,0.1745329,-1.318198,0.3200235,-0.2792527,-0.3976411,-0.9885612,-0.3838991,-1.354167,-0.7222689,-0.3400112
0.3333333,0.06761713,-1.100249,0.1745329,-1.324254,0.3114338,-0.2792527,-0.4198132,-0.9772829,-0.3970569,-1.360561,-0.7349517,-0.3429437
0.3666667,0.06981317,-1.098785,0.1745329,-1.32645,0.3068558,-0.2792527,-0.4302467,-0.9721603,-0.4014258,-1.362794,-0.7391627,-0.3454382
0.4,0.06978441,-1.098818,0.1745329,-1.326422,0.3054065,-0.2792527,-0.4374098,-0.9713619,-0.4016851,-1.364648,-0.7391627,-0.3473718
0.4333333,0.06969759,-1.098917,0.1745329,-1.326335,0.3062012,-0.2792527,-0.4418137,-0.9730579,-0.4023832,-1.366147,-0.7391627,-0.3486219
0.4666667,0.06955058,-1.09908,0.1745329,-1.326187,0.3083578,-0.2792527,-0.4439697,-0.9754182,-0.4034005,-1.367317,-0.7391627,-0.349066
0.5,0.06934126,-1.099306,0.1745329,-1.325978,0.3109917,-0.2792527,-0.4443889,-0.9766122,-0.4046172,-1.368183,-0.7391627,-0.349083
0.5333334,0.06906801,-1.099596,0.1745329,-1.325705,0.3132202,-0.2792527,-0.4435821,-0.9768762,-0.4059137,-1.36877,-0.7391627,-0.3491323
0.5666667,0.06872927,-1.099947,0.1745329,-1.325366,0.3141593,-0.2792527,-0.4420602,-0.9775505,-0.4071703,-1.369103,-0.7391627,-0.3492109
0.6,0.06832287,-1.10036,0.1745329,-1.32496,0.3142306,-0.2792527,-0.4403342,-0.9784594,-0.4082673,-1.369209,-0.7391627,-0.3493159
0.6333333,0.06784722,-1.100833,0.1745329,-1.324484,0.3144501,-0.2792527,-0.4389148,-0.979427,-0.4090852,-1.369111,-0.7391627,-0.3494443
0.6666667,0.06730074,-1.101364,0.1745329,-1.323938,0.3148272,-0.2792527,-0.4383132,-0.9802773,-0.4095039,-1.368837,-0.7391626,-0.3495932
0.7,0.06668076,-1.101955,0.1745329,-1.323318,0.315371,-0.2792527,-0.4390403,-0.9808343,-0.4094042,-1.368411,-0.7391626,-0.3497596
0.7333333,0.06598567,-1.102602,0.1745329,-1.322623,0.3160906,-0.2792527,-0.4404382,-0.9809222,-0.4086662,-1.367857,-0.7391626,-0.3499408
0.7666667,0.06521443,-1.103307,0.1745329,-1.321851,0.3169945,-0.2792527,-0.4428464,-0.9803651,-0.4071703,-1.367203,-0.7391626,-0.3501336
0.8,0.06436434,-1.104067,0.1745329,-1.321001,0.3180928,-0.2792527,-0.4482719,-0.978987,-0.4047966,-1.366472,-0.7391626,-0.3503352
0.8333333,0.06343383,-1.104883,0.1745329,-1.320071,0.3193934,-0.2792527,-0.4587226,-0.9766122,-0.4014257,-1.365691,-0.7371652,-0.3505427
0.8666667,0.0624213,-1.105752,0.1745329,-1.319059,0.3209061,-0.2792527,-0.4762105,-0.9683955,-0.3905571,-1.364885,-0.683033,-0.3507531
0.9,0.06132514,-1.106674,0.1745329,-1.317962,0.3226404,-0.2792527,-0.502755,-0.9511535,-0.3677858,-1.364078,-0.5301554,-0.3509635
0.9333333,0.0601427,-1.107649,0.1745329,-1.316779,0.3246042,-0.2792527,-0.5403806,-0.9272013,-0.3361354,-1.363297,-0.3021068,-0.351171
0.9666666,0.05887237,-1.108675,0.1745329,-1.315509,0.3268077,-0.2792527,-0.5865961,-0.898862,-0.2986425,-1.362566,-0.02874402,-0.3513725
1,0.05751256,-1.109751,0.1745329,-1.31415,0.3292594,-0.2792527,-0.6354168,-0.8684688,-0.2583581,-1.361912,0.2731711,-0.3515654
1.033333,0.05606167,-1.110877,0.1745329,-1.312699,0.3319684,-0.2792527,-0.6835845,-0.8383601,-0.2183371,-1.361359,0.5777931,-0.3517465
1.066667,0.05451757,-1.112052,0.1745329,-1.311154,0.3349442,-0.2792527,-0.7278056,-0.8108708,-0.1816188,-1.360932,0.8612887,-0.351913
1.1,0.05287813,-1.113274,0.1745329,-1.309515,0.3381954,-0.2792527,-0.7647758,-0.7883257,-0.1512153,-1.360658,1.101671,-0.3520618
1.133333,0.05114228,-1.114544,0.1745329,-1.307779,0.3417315,-0.2792527,-0.7911986,-0.7730371,-0.1303228,-1.360561,1.266295,-0.3521903
1.166667,0.04930736,-1.11586,0.1745329,-1.305944,0.3455617,-0.2792527,-0.8037857,-0.764447,-0.1186765,-1.359937,1.355233,-0.3522951
1.2,0.04737231,-1.117221,0.1745329,-1.304009,0.3496949,-0.2792527,-0.807628,-0.7598691,-0.1140758,-1.358164,1.38776,-0.3523738
1.233333,0.04533446,-1.118626,0.1745329,-1.301971,0.3541402,-0.2792527,-0.8101367,-0.7584195,-0.1143221,-1.355383,1.403967,-0.3524231
1.266667,0.04319221,-1.120074,0.1745329,-1.299829,0.3589073,-0.2792527,-0.8115022,-0.7592146,-0.1172185,-1.351739,1.423401,-0.3524402
1.3,0.0409445,-1.121565,0.1745329,-1.297581,0.3640046,-0.2792527,-0.8119149,-0.761371,-0.1205681,-1.347377,1.439836,-0.3524221
1.333333,0.03858867,-1.123098,0.1745329,-1.295225,0.3694412,-0.2792527,-0.8115657,-0.7640051,-0.1221731,-1.34244,1.453527,-0.3523659
1.366667,0.03612258,-1.124672,0.1745329,-1.29276,0.3752272,-0.2792527,-0.8106448,-0.7662335,-0.1220995,-1.337071,1.464725,-0.3522688
1.4,0.03354518,-1.126285,0.1745329,-1.290182,0.3813711,-0.2792527,-0.8093429,-0.7671728,-0.121883,-1.331416,1.473683,-0.3521277
1.433333,0.03085485,-1.127938,0.1745329,-1.287492,0.387882,-0.2792527,-0.8078504,-0.7666184,-0.1215304,-1.325617,1.480654,-0.3519398
1.466667,0.02804841,-1.129629,0.1745329,-1.284686,0.3945686,-0.2792527,-0.8063579,-0.7652548,-0.1210479,-1.31982,1.485889,-0.3517021
1.5,0.02512533,-1.131358,0.1745329,-1.281762,0.4012249,-0.2792527,-0.805056,-0.7635303,-0.1204424,-1.314168,1.48964,-0.3514116
1.533333,0.02208347,-1.133122,0.1745329,-1.27872,0.4078386,-0.2792527,-0.804135,-0.761893,-0.1197203,-1.308806,1.492157,-0.3510655
1.566667,0.01892069,-1.134923,0.1745329,-1.275558,0.4143964,-0.2792527,-0.8037857,-0.7607919,-0.1188881,-1.303877,1.493693,-0.3506608
1.6,0.01563489,-1.136757,0.1745329,-1.272272,0.420886,-0.2792527,-0.803854,-0.7606751,-0.1179524,-1.299525,1.494496,-0.3501946
1.633333,0.01222497,-1.138626,0.1745329,-1.268862,0.4272946,-0.2792527,-0.8028271,-0.7619911,-0.1169199,-1.295894,1.494817,-0.3496639
1.666667,0.008834238,-1.140527,0.1745329,-1.265409,0.4336089,-0.2792527,-0.7988583,-0.7651885,-0.115797,-1.293129,1.490326,-0.3490659
1.7,0.005605421,-1.142461,0.1745329,-1.262008,0.4398168,-0.2792527,-0.7901002,-0.7707158,-0.1145903,-1.291373,1.472912,-0.3473439
1.733333,0.002534797,-1.144426,0.1745329,-1.258673,0.4459053,-0.2792527,-0.7747029,-0.7807673,-0.1133064,-1.29077,1.437146,-0.3435876
1.766667,-0.000381679,-1.146421,0.1745329,-1.25542,0.4518612,-0.2792527,-0.7508103,-0.7967412,-0.1119519,-1.290773,1.377539,-0.3380135
1.8,-0.003148026,-1.148446,0.1745329,-1.252267,0.4576722,-0.2792527,-0.7165619,-0.8178937,-0.1105332,-1.290742,1.294085,-0.3308379
1.833333,-0.005767988,-1.150498,0.1745329,-1.249227,0.4633251,-0.2792527,-0.6728684,-0.8434803,-0.109057,-1.290679,1.192805,-0.3222772
1.866667,-0.008245423,-1.152504,0.1745329,-1.246317,0.4688069,-0.2792527,-0.6227443,-0.8727556,-0.1075298,-1.290587,1.077119,-0.3125482
1.9,-0.01058421,-1.15439,0.1745329,-1.243554,0.474105,-0.2792527,-0.5674965,-0.9049706,-0.1059581,-1.290469,0.9502446,-0.3018679
1.933333,-0.01278824,-1.156159,0.1745329,-1.240952,0.4792071,-0.2792527,-0.5084412,-0.9393755,-0.1043487,-1.290328,0.8150802,-0.2904537
1.966667,-0.01486138,-1.157814,0.1745329,-1.238527,0.4840993,-0.2792527,-0.4468974,-0.9752204,-0.1027079,-1.290166,0.6739747,-0.2785236
2,-0.01680749,-1.159359,0.1745329,-1.236296,0.4887694,-0.2792527,-0.3841764,-1.011758,-0.1010423,-1.289987,0.529511,-0.2662959
2.033333,-0.01863047,-1.160797,0.1745329,-1.234274,0.4932041,-0.2792527,-0.3215651,-1.048249,-0.0993586,-1.289793,0.3848193,-0.253989
2.066667,-0.0203342,-1.162131,0.1745329,-1.232477,0.4973911,-0.2792527,-0.2603133,-1.083961,-0.09766326,-1.289588,0.2431684,-0.2418216
2.1,-0.02192253,-1.163365,0.1745329,-1.230921,0.5013171,-0.2792527,-0.2019291,-1.118176,-0.09596284,-1.289373,0.1077813,-0.2300122
2.133333,-0.02339937,-1.164503,0.1745329,-1.229622,0.5049689,-0.2792527,-0.1477314,-1.149529,-0.0942639,-1.289151,-0.01763809,-0.2187788
2.166667,-0.02476857,-1.165546,0.1745329,-1.228594,0.5083346,-0.2792527,-0.0986733,-1.17706,-0.09257303,-1.288927,-0.1304011,-0.2083396
2.2,-0.026034,-1.1665,0.1745329,-1.227855,0.5114004,-0.2792527,-0.05572902,-1.200662,-0.09089675,-1.288701,-0.2287582,-0.1989119
2.233333,-0.02719956,-1.167366,0.1745329,-1.227421,0.5141541,-0.2792527,-0.01988948,-1.220227,-0.08929792,-1.288478,-0.3107453,-0.1907128
