time_sec,joint_pelvisYaw,joint_pelvisPitch,joint_pelvisRoll,joint_lShoulderPitch,joint_lShoulderRoll,joint_lShoulderYaw,joint_lElbow,joint_lWristRoll,joint_lWristPitch,joint_rShoulderPitch,joint_rShoulderRoll,joint_rShoulderYaw,joint_rElbow,joint_rWristRoll,joint_rWristPitch
0.000000,0.020302,0.056607,-0.000896,-0.307209,-1.164104,-0.098024,-1.431494,-0.009181,0.012774,-0.524667,-1.355803,-0.844533,1.247334,-0.013619,-0.023162
0.033333,0.019622,0.041268,-0.019927,-0.698146,-1.132214,1.285002,-1.386299,-0.048227,-0.028710,-0.262395,-1.228885,-0.382076,1.189433,0.023308,-0.017574
0.066667,0.042248,0.070085,-0.028125,-0.422481,-1.237990,0.992522,-0.802274,-0.090836,-0.028285,0.530311,-0.876114,1.216657,0.502789,-0.003369,0.016634
0.100000,0.024987,0.041501,-0.016031,-0.525156,-1.139629,0.929644,-1.373657,-0.069051,-0.031058,0.154082,-0.975864,0.587831,0.810506,0.000289,-0.006618
0.133333,0.003524,0.065521,-0.006767,-1.038130,-1.016083,2.306499,-1.521878,-0.070337,-0.038288,-0.859574,-1.410000,-1.400489,1.570000,0.032081,0.013590
0.166667,0.003146,0.068485,-0.011370,-0.999442,-1.038366,2.162812,-1.501156,-0.067785,-0.034988,-0.835208,-1.410000,-1.418782,1.570000,0.024796,-0.000837
0.200000,0.023940,0.065971,-0.004409,-1.056024,-0.967373,1.996131,-1.570000,-0.064720,-0.029512,-0.530479,-1.279573,-0.964215,1.538196,0.025535,0.012605
0.233333,0.017046,0.044793,-0.018947,-0.572321,-1.149652,1.116062,-1.293807,-0.056654,-0.025596,0.013250,-1.119977,0.046192,1.067135,0.012895,-0.018114
0.266667,0.019874,0.082450,-0.010869,-1.156288,-0.972825,2.429053,-1.502113,-0.080626,-0.050428,-0.863921,-1.410000,-1.404123,1.570000,0.018964,-0.007872
0.300000,0.013153,0.066918,-0.017038,-0.511064,-1.172785,1.125263,-1.327101,-0.089491,-0.022878,0.364255,-0.833720,0.797638,0.828260,0.012439,-0.005395
0.333333,0.022665,0.055251,-0.016437,-0.847215,-1.100606,1.660386,-1.570000,-0.037962,-0.028827,-0.571161,-1.325925,-0.985542,1.392488,0.039274,-0.001272
0.366667,0.005236,0.058067,-0.009713,-1.053201,-1.035172,2.165551,-1.469298,-0.057602,-0.038311,-0.822271,-1.406937,-1.320301,1.570000,0.031946,-0.001353
0.400000,-0.007562,0.075241,-0.007838,-0.117384,-1.221334,-0.422980,-1.141740,-0.085292,-0.006784,-0.538230,-1.330481,-0.925454,1.411901,-0.041620,-0.044259
0.433333,0.027131,0.038863,-0.021097,-0.549963,-1.189635,1.147612,-1.207385,-0.067112,-0.028128,0.070906,-1.014835,0.322922,0.881183,0.006343,-0.023869
0.466667,0.013257,0.052596,-0.019525,-0.916111,-1.047132,1.779311,-1.476591,-0.043300,-0.030268,-0.665798,-1.342489,-1.138216,1.505092,0.026192,0.004612
0.500000,0.012976,0.049065,-0.021456,-0.824913,-1.080512,1.630895,-1.471411,-0.036139,-0.026300,-0.692806,-1.363330,-1.256678,1.525241,0.020372,0.006594
0.533333,0.014351,0.045083,-0.017445,-0.707167,-1.140250,1.394197,-1.418789,-0.031815,-0.027254,-0.631548,-1.339802,-1.221601,1.474259,0.018053,-0.002371
0.566667,0.006427,0.051206,-0.010871,-0.488858,-1.127057,0.780324,-1.470703,-0.067093,-0.041678,0.138231,-0.995368,0.584519,0.836875,-0.009815,-0.022344
0.600000,0.029216,0.068628,-0.003597,-1.142447,-0.986326,2.412146,-1.493329,-0.074294,-0.034716,-0.869087,-1.410000,-1.388366,1.570000,0.022150,-0.000615
0.633333,0.018308,0.054905,-0.011580,-0.954511,-1.031452,1.970570,-1.491030,-0.050447,-0.037655,-0.777400,-1.359474,-1.325009,1.570000,0.021948,0.005924
0.666667,0.014709,0.052770,-0.009765,-0.883971,-1.044180,1.720191,-1.422317,-0.062056,-0.025167,-0.299175,-1.233122,-0.541626,1.342829,0.026862,-0.021412
0.700000,0.020003,0.041870,-0.015158,-0.534855,-1.166440,0.953835,-1.380013,-0.065417,-0.035381,0.168715,-1.011134,0.570102,0.825123,0.002428,-0.019437
0.733333,-0.005363,0.040627,-0.003094,-0.590694,-1.154596,0.923049,-1.414856,-0.015092,-0.040592,-0.726835,-1.364340,-1.286972,1.570000,0.009804,-0.003747
0.766667,0.015739,0.050475,-0.014673,-0.878040,-1.043277,1.661553,-1.462699,-0.054859,-0.026442,-0.466133,-1.270901,-0.756347,1.400643,0.023967,-0.008816
0.800000,0.016087,0.059957,-0.007006,-1.010754,-1.052059,2.103589,-1.452922,-0.068820,-0.022948,-0.767776,-1.351714,-1.291745,1.570000,0.034587,-0.006803
0.833333,0.013941,0.042365,-0.019306,-0.473161,-1.174057,0.608894,-1.402278,-0.049141,-0.036620,-0.085205,-1.178557,0.019026,1.069113,0.006612,-0.012382
0.866667,0.014879,0.042878,-0.018957,-0.729048,-1.125171,1.316514,-1.481807,-0.049633,-0.030979,-0.262336,-1.216930,-0.374451,1.210319,0.020462,-0.012664
0.900000,0.017639,0.044247,-0.015432,-0.792734,-1.071175,1.440434,-1.474014,-0.053077,-0.028136,-0.180298,-1.174049,-0.247159,1.218202,0.018239,-0.017695
0.933333,0.083585,0.091350,-0.031834,-0.410250,-1.255343,1.031193,-0.651365,-0.116057,-0.022884,0.628138,-0.838118,1.448489,0.355563,-0.011303,-0.023409
0.966667,0.013725,0.042375,-0.009004,-0.230502,-1.174762,-0.089189,-1.275469,-0.016968,-0.039213,-0.328579,-1.222796,-0.520969,1.308410,-0.019861,-0.019770
1.000000,0.015825,0.069633,-0.013548,-1.001827,-1.057124,2.230428,-1.442312,-0.033645,-0.041005,-0.818076,-1.410000,-1.388006,1.570000,0.037533,-0.022982
1.033333,0.049938,0.086820,-0.029098,-0.077330,-1.354833,-0.302417,-0.555831,-0.051972,-0.061487,0.431905,-0.668710,1.137154,1.021108,0.012366,-0.112257
1.066667,0.020309,0.071016,-0.012936,-1.078640,-0.980121,2.334545,-1.507796,-0.071083,-0.035396,-0.876455,-1.410000,-1.425747,1.570000,0.035373,-0.007677
1.100000,0.017036,0.076286,-0.011142,-1.094467,-1.003502,2.392689,-1.505653,-0.069388,-0.057447,-0.892807,-1.410000,-1.432135,1.570000,0.024165,-0.014238
1.133333,0.016239,0.066596,-0.013078,-1.159413,-0.995052,2.455283,-1.446363,-0.048229,-0.046374,-0.903946,-1.410000,-1.330411,1.570000,0.042270,-0.008837
