time_sec,joint_pelvisYaw,joint_pelvisPitch,joint_pelvisRoll,joint_lShoulderPitch,joint_lShoulderRoll,joint_lShoulderYaw,joint_lElbow,joint_lWristRoll,joint_lWristPitch,joint_rShoulderPitch,joint_rShoulderRoll,joint_rShoulderYaw,joint_rElbow,joint_rWristRoll,joint_rWristPitch
0.000000,0.047687,0.054847,-0.030196,-0.656826,-1.410000,1.620128,-0.690554,-0.033688,-0.084500,-0.610579,-1.410000,-0.894859,0.844254,-0.011586,0.011547
0.033333,-0.013352,0.073053,-0.002704,-0.698635,-1.410000,1.536863,-0.730773,-0.085833,-0.026074,-0.610686,-1.410000,-0.889235,0.802374,0.105727,-0.009970
0.066667,0.012397,0.094925,-0.017982,-0.754203,-1.410000,1.773878,-0.727028,-0.069470,-0.009054,-0.681749,-1.410000,-0.965618,0.857367,0.051737,0.004893
0.100000,-0.006625,0.055715,-0.025334,-0.797728,-1.410000,1.237291,-0.723629,0.026639,0.004331,-0.557621,-1.398394,-0.734975,0.901528,0.048737,0.066211
0.133333,-0.027200,0.065040,0.010091,-0.715226,-1.410000,1.589913,-0.676995,-0.087660,0.004277,-0.530280,-1.410000,-0.910374,0.870477,-0.004492,-0.002162
0.166667,0.011710,0.055910,-0.001979,-0.800028,-1.395936,0.659449,-0.713441,-0.096930,-0.033570,-0.440435,-1.371086,-0.322304,1.099120,0.046356,-0.025196
0.200000,-0.035564,0.031985,0.012282,-0.704856,-1.410000,1.620635,-0.686378,-0.106504,-0.078987,-0.597922,-1.410000,-0.904575,0.882944,0.018822,-0.017593
0.233333,-0.066421,0.073563,-0.027782,-0.731159,-1.410000,1.517896,-0.653625,-0.030535,-0.024163,-0.647050,-1.410000,-0.883764,0.855310,0.024698,-0.006736
0.266667,0.040156,0.032653,-0.007439,-0.691297,-1.410000,1.551541,-0.742728,-0.098902,-0.064506,-0.644749,-1.410000,-0.883070,0.830185,0.060344,0.087921
0.300000,0.038568,0.010556,0.007797,-0.733159,-1.410000,1.376502,-0.668438,-0.058764,-0.093073,-0.582478,-1.378432,-0.793745,0.946508,-0.044490,0.004979
0.333333,-0.024329,0.066765,-0.004484,-0.652388,-1.410000,1.522139,-0.784768,-0.013792,-0.026561,-0.616688,-1.410000,-0.845165,0.835110,0.035503,-0.052822
0.366667,0.039585,0.057152,0.016444,-0.641756,-1.410000,1.424266,-0.769059,-0.022564,-0.047435,-0.620889,-1.410000,-0.840740,0.908223,0.000309,0.010506
0.400000,-0.014681,0.071442,-0.026800,-0.710475,-1.410000,1.594237,-0.765773,-0.029870,0.023036,-0.578313,-1.410000,-0.964482,0.800966,0.026713,0.064150
0.433333,-0.046868,0.000000,0.012575,-0.762847,-1.410000,0.903678,-0.707416,-0.092183,-0.060197,-0.486976,-1.393098,-0.462018,1.024619,0.013080,0.031841
0.466667,0.044120,0.080368,0.011538,-0.740310,-1.410000,1.215229,-0.681823,0.001490,-0.008134,-0.580680,-1.402865,-0.724043,0.861968,0.042964,-0.017131
0.500000,-0.032755,0.015459,0.006366,-0.698394,-1.410000,1.579395,-0.697041,-0.028619,-0.040104,-0.623004,-1.410000,-0.908599,0.834940,0.052783,-0.042862
0.533333,0.009970,0.047888,0.009522,-0.679036,-1.410000,1.676418,-0.756248,-0.090222,-0.070876,-0.684510,-1.410000,-0.910962,0.840956,0.059297,-0.007548
0.566667,0.017235,0.076971,0.008507,-0.660490,-1.410000,1.659467,-0.811745,-0.087874,-0.051976,-0.617020,-1.410000,-0.916216,0.820053,0.008897,0.037999
0.600000,0.007177,0.064804,-0.022586,-0.714091,-1.410000,1.386311,-0.758198,-0.043123,-0.103230,-0.649747,-1.410000,-0.866193,0.797540,0.047858,0.008075
0.633333,-0.014292,0.026688,-0.017634,-0.739570,-1.410000,1.148338,-0.783140,-0.101752,0.013530,-0.498875,-1.410000,-0.654441,0.933175,-0.017641,0.022943
0.666667,0.013147,0.071600,-0.037476,-0.693608,-1.410000,1.264970,-0.773892,-0.095261,-0.082527,-0.575323,-1.410000,-0.712470,0.863808,0.065120,0.038306
0.700000,0.015948,0.042623,0.006913,-0.668484,-1.410000,1.267471,-0.763851,-0.056183,-0.047950,-0.546753,-1.410000,-0.731717,0.951426,0.043891,-0.041126
0.733333,0.076186,0.058865,-0.030073,-0.811680,-1.410000,0.963309,-0.777195,-0.020081,-0.041806,-0.512997,-1.400980,-0.543404,1.017628,0.082484,-0.044851
0.766667,0.022728,0.081818,0.008506,-0.692552,-1.410000,1.638770,-0.724460,-0.089839,-0.008694,-0.647272,-1.410000,-0.946308,0.802419,-0.000325,-0.017324
0.800000,0.007516,0.064213,-0.016707,-0.694413,-1.410000,1.547029,-0.744678,-0.013560,-0.061678,-0.651513,-1.410000,-0.884406,0.836367,0.028654,0.055799
0.833333,-0.009347,0.044909,-0.009759,-0.630722,-1.410000,1.624687,-0.767662,-0.048709,-0.025899,-0.650059,-1.410000,-0.927268,0.824139,0.080622,0.009804
0.866667,0.063385,0.056931,-0.038390,-0.680174,-1.410000,1.550418,-0.760067,-0.116823,-0.068689,-0.593929,-1.410000,-0.946438,0.869441,0.037999,-0.032153
0.900000,-0.080336,0.070359,-0.027745,-0.762893,-1.403763,1.193710,-0.753601,-0.107694,0.030048,-0.540794,-1.401888,-0.746120,0.863106,-0.008315,-0.002259
0.933333,0.050888,0.048836,0.000075,-0.810859,-1.410000,1.361193,-0.744637,-0.115056,0.000782,-0.560267,-1.410000,-0.808842,0.820714,0.068217,-0.013009
0.966667,0.050888,0.048836,0.000075,-0.810859,-1.410000,1.361193,-0.744637,-0.115056,0.000782,-0.560267,-1.410000,-0.808842,0.820714,0.068217,-0.013009
1.000000,0.003952,0.069824,-0.014770,-0.665631,-1.410000,1.950069,-0.838613,-0.090051,0.004287,-0.445194,-1.410000,-1.139000,0.407642,0.050751,0.022255
