time_sec,joint_pelvisYaw,joint_pelvisPitch,joint_pelvisRoll,joint_lShoulderPitch,joint_lShoulderRoll,joint_lShoulderYaw,joint_lElbow,joint_lWristRoll,joint_lWristPitch,joint_rShoulderPitch,joint_rShoulderRoll,joint_rShoulderYaw,joint_rElbow,joint_rWristRoll,joint_rWristPitch
0.000000,-0.012239,0.048766,-0.002494,-1.035023,-1.025690,1.584889,-1.535815,-0.036296,-0.005048,-1.118261,-1.010790,-1.992126,1.570000,0.020587,0.001146
0.033333,-0.005805,0.045079,-0.005240,-0.991332,-1.036565,1.546826,-1.490391,-0.035042,-0.009228,-1.077989,-1.032355,-1.985396,1.555937,0.018595,-0.003255
0.066667,-0.002815,0.044872,-0.007092,-0.964300,-1.029842,1.519239,-1.464474,-0.033175,-0.006270,-1.059753,-1.045788,-1.972958,1.546563,0.014895,-0.007101
0.100000,-0.001894,0.044727,-0.007430,-0.947744,-1.028771,1.502129,-1.449034,-0.032310,-0.006262,-1.051992,-1.048745,-1.966826,1.546563,0.014727,-0.007136
0.133333,-0.000230,0.043844,-0.007809,-0.935855,-1.030872,1.490852,-1.440778,-0.031858,-0.006892,-1.041690,-1.049225,-1.955537,1.546229,0.014616,-0.007273
0.166667,-0.001101,0.044404,-0.007873,-0.931249,-1.028883,1.486860,-1.437334,-0.034160,-0.005242,-1.040528,-1.049223,-1.941211,1.549817,0.014394,-0.007124
0.200000,0.002509,0.043926,-0.009339,-0.911393,-1.030679,1.461916,-1.423668,-0.035211,-0.003347,-1.030135,-1.057418,-1.926885,1.539341,0.016740,-0.009143
0.233333,0.001203,0.043585,-0.008461,-0.907961,-1.034040,1.452435,-1.419196,-0.031071,-0.004717,-1.040695,-1.046365,-1.933511,1.549817,0.017568,-0.006281
0.266667,0.002059,0.043181,-0.009403,-0.897041,-1.041395,1.439113,-1.404696,-0.031219,-0.004464,-1.030303,-1.055468,-1.919557,1.539341,0.017428,-0.006477
0.300000,0.001428,0.041728,-0.008553,-0.888991,-1.055797,1.428900,-1.394914,-0.031320,-0.009174,-1.035137,-1.049339,-1.925244,1.540159,0.021631,-0.003593
0.333333,0.005117,0.039845,-0.008631,-0.859989,-1.054071,1.397733,-1.364180,-0.028282,-0.009933,-1.019019,-1.043210,-1.914148,1.528838,0.021680,-0.006977
0.366667,0.003665,0.040565,-0.008449,-0.836796,-1.051552,1.371210,-1.336738,-0.028976,-0.009919,-1.015918,-1.040769,-1.918687,1.528328,0.021150,-0.006663
0.400000,0.003475,0.041010,-0.008410,-0.827273,-1.050208,1.358354,-1.325436,-0.030102,-0.009896,-1.017891,-1.040761,-1.919855,1.528328,0.021046,-0.005803
0.433333,0.000988,0.041453,-0.007033,-0.836091,-1.049724,1.366450,-1.328872,-0.027608,-0.011189,-1.031768,-1.028697,-1.928326,1.538804,0.019740,-0.003540
0.466667,0.000375,0.041595,-0.007047,-0.841868,-1.047509,1.375907,-1.334180,-0.027401,-0.010971,-1.037816,-1.029926,-1.935462,1.538804,0.019608,-0.004130
0.500000,0.000579,0.041245,-0.005879,-0.847644,-1.036759,1.385363,-1.339488,-0.025244,-0.010668,-1.043864,-1.016104,-1.942597,1.538912,0.020404,-0.006102
0.533333,0.001631,0.041677,-0.006510,-0.856540,-1.028788,1.391711,-1.350173,-0.027625,-0.008543,-1.034686,-1.017514,-1.930092,1.526624,0.019872,-0.007958
0.566667,-0.001721,0.042897,-0.006169,-0.886388,-1.031854,1.419011,-1.381811,-0.030323,-0.008184,-1.046460,-1.018924,-1.935774,1.527576,0.019428,-0.005117
0.600000,0.000627,0.041003,-0.006761,-0.895284,-1.037242,1.425358,-1.392496,-0.026734,-0.009484,-1.043848,-1.020637,-1.935803,1.520634,0.020474,-0.006550
0.633333,0.001885,0.040463,-0.007583,-0.883228,-1.033538,1.410754,-1.384159,-0.027863,-0.006927,-1.023060,-1.029116,-1.922877,1.502371,0.018754,-0.009530
0.666667,0.002930,0.040154,-0.009274,-0.853029,-1.042083,1.396149,-1.368583,-0.028453,-0.008401,-0.991242,-1.049652,-1.902648,1.473632,0.019457,-0.009059
0.700000,0.004101,0.040489,-0.009849,-0.830401,-1.051990,1.385673,-1.359744,-0.032400,-0.007779,-0.949032,-1.059803,-1.862802,1.441210,0.018222,-0.011004
0.733333,0.003161,0.042590,-0.011218,-0.817490,-1.073575,1.395411,-1.350906,-0.040062,-0.007909,-0.906823,-1.085178,-1.822956,1.408679,0.014276,-0.011344
0.766667,0.002106,0.042495,-0.011680,-0.798589,-1.091988,1.405149,-1.338241,-0.039005,-0.008813,-0.885565,-1.102709,-1.783110,1.393184,0.014176,-0.009003
0.800000,0.004198,0.040603,-0.012265,-0.759930,-1.099365,1.393935,-1.304625,-0.036111,-0.010481,-0.864308,-1.120240,-1.746029,1.377688,0.015605,-0.010315
0.833333,0.004902,0.041587,-0.013027,-0.742223,-1.098916,1.391718,-1.291961,-0.041051,-0.008663,-0.836485,-1.132083,-1.693648,1.362903,0.014833,-0.010730
0.866667,0.005022,0.040486,-0.011479,-0.726879,-1.100080,1.389501,-1.277366,-0.035109,-0.012437,-0.829614,-1.122974,-1.662219,1.369070,0.017435,-0.011092
