time_sec,joint_pelvisYaw,joint_pelvisPitch,joint_pelvisRoll,joint_lShoulderPitch,joint_lShoulderRoll,joint_lShoulderYaw,joint_lElbow,joint_lWristRoll,joint_lWristPitch,joint_rShoulderPitch,joint_rShoulderRoll,joint_rShoulderYaw,joint_rElbow,joint_rWristRoll,joint_rWristPitch
0.000000,-0.015067,0.020695,0.031886,-0.148910,-0.732694,0.116742,-0.949201,0.016509,-0.071913,-0.485542,-0.884806,-1.147066,-1.601542,0.007429,-0.048452
0.033333,-0.005915,0.028302,0.033980,-0.151124,-0.758003,0.145268,-1.010180,0.006847,-0.066597,-0.422134,-0.911215,-1.050187,-1.501542,0.018432,-0.052050
0.066667,0.002278,0.034239,0.028090,-0.183270,-0.803607,0.184890,-1.030507,0.006041,-0.064077,-0.394577,-0.935869,-0.993308,-1.401542,0.017576,-0.058016
0.100000,0.018671,0.030100,0.024976,-0.202867,-0.869212,0.209503,-1.030833,0.012296,-0.060174,-0.347020,-0.944485,-0.916428,-1.301542,0.020805,-0.053247
0.133333,0.014098,0.022191,0.018172,-0.234794,-0.928974,0.226151,-1.010833,0.013065,-0.059052,-0.306639,-0.965879,-0.839549,-1.201542,0.021467,-0.062352
0.166667,0.020158,0.018308,0.016795,-0.247829,-0.968731,0.227969,-0.971889,0.022556,-0.054000,-0.294370,-1.001395,-0.762670,-1.101542,0.026931,-0.059053
0.200000,0.017553,0.010474,0.020393,-0.240633,-0.983495,0.224724,-0.932944,0.029799,-0.045012,-0.278136,-1.009902,-0.701214,-1.021557,0.027108,-0.048721
0.233333,0.013662,0.005828,0.025685,-0.237796,-0.987320,0.222976,-0.934000,0.029387,-0.041929,-0.295183,-0.999094,-0.679758,-0.981573,0.029600,-0.039745
0.266667,-0.003473,0.012196,0.026342,-0.264284,-0.991145,0.256237,-0.975055,0.017159,-0.038292,-0.352231,-1.015380,-0.698303,-0.981588,0.029725,-0.040653
0.300000,0.009130,0.018734,0.024944,-0.287377,-1.019477,0.311174,-1.056111,0.012348,-0.031577,-0.442103,-1.008766,-0.756847,-1.021603,0.026403,-0.031105
0.333333,0.002554,0.024295,0.022076,-0.302062,-1.049641,0.406110,-1.156111,0.010402,-0.035124,-0.503341,-0.967842,-0.825165,-1.101619,0.025535,-0.030977
0.366667,0.005828,0.033302,0.019310,-0.331618,-1.104799,0.506110,-1.216111,0.005776,-0.037946,-0.566137,-0.958587,-0.889455,-1.201619,0.030023,-0.030754
0.400000,0.010253,0.027872,0.019448,-0.358953,-1.147878,0.602594,-1.245091,0.001268,-0.037465,-0.588933,-0.984250,-0.935023,-1.261619,0.032333,-0.034720
0.433333,0.007141,0.025088,0.022811,-0.361782,-1.160214,0.659078,-1.234071,-0.000197,-0.042852,-0.571729,-0.998328,-0.940591,-1.281619,0.035582,-0.041407
0.466667,-0.005745,0.021954,0.025965,-0.350529,-1.174932,0.675562,-1.191974,0.001510,-0.045446,-0.514525,-1.001291,-0.906159,-1.261619,0.037351,-0.040799
0.500000,-0.007287,0.019182,0.029126,-0.358421,-1.209554,0.652045,-1.149876,-0.002753,-0.043697,-0.456995,-1.037972,-0.861954,-1.207313,0.031908,-0.041485
0.533333,-0.009049,0.012080,0.029442,-0.360008,-1.235339,0.613736,-1.107778,-0.004789,-0.044480,-0.398145,-1.074653,-0.783232,-1.121973,0.025433,-0.040379
0.566667,-0.019828,0.013191,0.027664,-0.323817,-1.244272,0.539339,-1.056700,-0.001234,-0.039843,-0.352409,-1.081886,-0.683232,-1.064391,0.029477,-0.037529
0.600000,-0.010959,0.009607,0.026963,-0.300197,-1.243948,0.503645,-1.005622,0.006394,-0.036585,-0.317939,-1.071435,-0.583232,-1.031773,0.029194,-0.028304
0.633333,-0.005218,0.007016,0.025315,-0.299291,-1.208478,0.472956,-0.985622,0.007451,-0.032559,-0.290304,-1.073101,-0.483232,-0.999155,0.031913,-0.028726
0.666667,-0.006596,0.005413,0.023555,-0.297501,-1.139772,0.464920,-0.965622,0.003878,-0.029482,-0.280670,-1.056285,-0.383232,-0.965196,0.033009,-0.029334
0.700000,-0.007645,0.006566,0.023258,-0.306094,-1.065604,0.471676,-0.985622,0.003732,-0.030255,-0.265774,-1.030876,-0.307836,-0.939279,0.035011,-0.035245
0.733333,-0.006030,0.008427,0.025864,-0.354687,-1.031304,0.518037,-1.045622,-0.002503,-0.030804,-0.277205,-1.031184,-0.272439,-0.925603,0.033172,-0.037714
0.766667,-0.011179,0.008427,0.023168,-0.418438,-1.037004,0.565695,-1.145622,-0.006342,-0.028017,-0.317371,-1.063161,-0.277043,-0.926963,0.028772,-0.051102
0.800000,-0.001771,0.009389,0.029161,-0.464530,-1.076123,0.637521,-1.245622,-0.010515,-0.025671,-0.369591,-1.110308,-0.321646,-0.968324,0.036873,-0.052427
0.833333,0.001748,0.012847,0.035767,-0.503590,-1.148180,0.707063,-1.337491,-0.012728,-0.029712,-0.398030,-1.162639,-0.406250,-1.040824,0.045482,-0.042834
0.866667,-0.001972,0.009391,0.036036,-0.503930,-1.194536,0.736605,-1.389360,-0.013581,-0.030080,-0.400599,-1.184394,-0.466250,-1.099952,0.046123,-0.036202
0.900000,0.001124,0.011825,0.034024,-0.464270,-1.200893,0.726147,-1.401229,-0.014373,-0.031769,-0.363728,-1.169881,-0.486250,-1.119079,0.045344,-0.037078
0.933333,0.003916,0.017231,0.034873,-0.404610,-1.187249,0.695689,-1.393099,-0.019920,-0.031481,-0.306856,-1.141910,-0.486250,-1.118207,0.048796,-0.031540
0.966667,-0.005690,0.020861,0.030547,-0.355839,-1.160187,0.656059,-1.364968,-0.022894,-0.035524,-0.251094,-1.106652,-0.466250,-1.097335,0.041890,-0.035097
