time_sec,joint_pelvisYaw,joint_pelvisPitch,joint_pelvisRoll,joint_lShoulderPitch,joint_lShoulderRoll,joint_lShoulderYaw,joint_lElbow,joint_lWristRoll,joint_lWristPitch,joint_rShoulderPitch,joint_rShoulderRoll,joint_rShoulderYaw,joint_rElbow,joint_rWristRoll,joint_rWristPitch
0.000000,0.000000,0.000000,0.000000,-0.264780,-1.330000,0.030328,-0.240000,0.000000,0.000000,-0.270000,-1.290000,-0.617621,0.820000,0.000000,0.000000
0.033333,0.000000,0.000000,0.000000,-0.264780,-1.290000,0.030328,-0.190000,0.000000,0.000000,-0.270000,-1.290000,-0.527621,0.780000,0.000000,0.000000
0.066667,0.000000,0.000000,0.000000,-0.304780,-1.290000,-0.009672,-0.100000,0.000000,0.000000,-0.220000,-1.290000,-0.437621,0.780000,0.000000,0.000000
0.100000,0.000000,0.000000,0.000000,-0.254780,-1.250000,-0.009672,-0.240000,0.000000,0.000000,-0.170000,-1.290000,-0.227621,0.690000,0.000000,0.000000
0.133333,0.000000,0.000000,0.000000,-0.214780,-1.210000,-0.009672,-0.420000,0.000000,0.000000,-0.170000,-1.290000,-0.047621,0.550000,0.000000,0.000000
0.166667,0.000000,0.000000,0.000000,-0.164780,-1.120000,-0.009672,-0.680000,0.000000,0.000000,-0.260000,-1.150000,-0.007621,0.200000,0.000000,0.000000
0.200000,0.000000,0.000000,0.000000,-0.114780,-1.070000,-0.059672,-0.990000,0.000000,0.000000,-0.080000,-0.930000,0.072379,1.040000,0.000000,0.000000
0.233333,0.000000,0.000000,0.000000,-0.064780,-1.030000,-0.149672,-1.300000,0.000000,0.000000,-0.120000,-0.880000,0.162379,1.390000,0.000000,0.000000
0.266667,0.000000,0.000000,0.000000,-0.104780,-1.030000,-0.189672,-1.390000,0.000000,0.000000,-0.160000,-0.880000,0.202379,1.440000,0.000000,0.000000
0.300000,0.000000,0.000000,0.000000,-0.144780,-1.030000,-0.189672,-1.440000,0.000000,0.000000,-0.160000,-0.840000,0.162379,1.480000,0.000000,0.000000
0.333333,0.000000,0.000000,0.000000,-0.144780,-0.990000,-0.189672,-1.440000,0.000000,0.000000,-0.200000,-0.880000,0.202379,1.480000,0.000000,0.000000
0.366667,0.000000,0.000000,0.000000,-0.184780,-1.030000,-0.189672,-1.480000,0.000000,0.000000,-0.160000,-0.840000,0.162379,1.480000,0.000000,0.000000
0.400000,0.000000,0.000000,0.000000,-0.184780,-0.990000,-0.189672,-1.480000,0.000000,0.000000,-0.200000,-0.840000,0.162379,1.480000,0.000000,0.000000
0.433333,0.000000,0.000000,0.000000,-0.184780,-0.990000,-0.189672,-1.480000,0.000000,0.000000,-0.200000,-0.840000,0.162379,1.480000,0.000000,0.000000
0.466667,0.000000,0.000000,0.000000,-0.184780,-0.990000,-0.189672,-1.520000,0.000000,0.000000,-0.200000,-0.840000,0.162379,1.480000,0.000000,0.000000
0.500000,0.000000,0.000000,0.000000,-0.184780,-0.990000,-0.189672,-1.520000,0.000000,0.000000,-0.200000,-0.840000,0.162379,1.480000,0.000000,0.000000
0.533333,0.000000,0.000000,0.000000,-0.184780,-0.990000,-0.189672,-1.520000,0.000000,0.000000,-0.200000,-0.840000,0.162379,1.480000,0.000000,0.000000
0.566667,0.000000,0.000000,0.000000,-0.184780,-0.990000,-0.189672,-1.480000,0.000000,0.000000,-0.160000,-0.840000,0.202379,1.480000,0.000000,0.000000
