time_sec,joint_pelvisYaw,joint_pelvisPitch,joint_pelvisRoll,joint_lShoulderPitch,joint_lShoulderRoll,joint_lShoulderYaw,joint_lElbow,joint_lWristRoll,joint_lWristPitch,joint_rShoulderPitch,joint_rShoulderRoll,joint_rShoulderYaw,joint_rElbow,joint_rWristRoll,joint_rWristPitch
0.000000,0.000000,0.000000,0.000000,-0.430000,-1.410000,0.750000,-0.770000,0.000000,0.000000,-0.270000,-1.370000,-0.560000,0.810000,0.000000,0.000000
0.033333,0.000000,0.000000,0.000000,-0.430000,-1.410000,0.750000,-0.770000,0.000000,0.000000,-0.270000,-1.370000,-0.560000,0.810000,0.000000,0.000000
0.066667,0.000000,0.000000,0.000000,-0.430000,-1.410000,0.790000,-0.810000,0.000000,0.000000,-0.270000,-1.370000,-0.560000,0.810000,0.000000,0.000000
0.100000,0.000000,0.000000,0.000000,-0.430000,-1.410000,0.790000,-0.810000,0.000000,0.000000,-0.270000,-1.370000,-0.600000,0.850000,0.000000,0.000000
0.133333,0.000000,0.000000,0.000000,-0.430000,-1.410000,0.790000,-0.810000,0.000000,0.000000,-0.270000,-1.370000,-0.600000,0.850000,0.000000,0.000000
0.166667,0.000000,0.000000,0.000000,-0.430000,-1.410000,0.830000,-0.850000,0.000000,0.000000,-0.270000,-1.370000,-0.650000,0.890000,0.000000,0.000000
0.200000,0.000000,0.000000,0.000000,-0.470000,-1.410000,0.870000,-0.850000,0.000000,0.000000,-0.320000,-1.330000,-0.780000,0.930000,0.000000,0.000000
0.233333,0.000000,0.000000,0.000000,-0.470000,-1.410000,0.870000,-0.850000,0.000000,0.000000,-0.360000,-1.330000,-0.870000,0.980000,0.000000,0.000000
0.266667,0.000000,0.000000,0.000000,-0.470000,-1.410000,0.870000,-0.850000,0.000000,0.000000,-0.400000,-1.290000,-0.960000,1.020000,0.000000,0.000000
0.300000,0.000000,0.000000,0.000000,-0.470000,-1.410000,0.830000,-0.850000,0.000000,0.000000,-0.440000,-1.290000,-1.090000,1.110000,0.000000,0.000000
0.333333,0.000000,0.000000,0.000000,-0.430000,-1.410000,0.790000,-0.850000,0.000000,0.000000,-0.530000,-1.250000,-1.220000,1.150000,0.000000,0.000000
0.366667,0.000000,0.000000,0.000000,-0.430000,-1.410000,0.750000,-0.800000,0.000000,0.000000,-0.580000,-1.250000,-1.360000,1.240000,0.000000,0.000000
0.400000,0.000000,0.000000,0.000000,-0.420000,-1.410000,0.700000,-0.760000,0.000000,0.000000,-0.630000,-1.250000,-1.450000,1.280000,0.000000,0.000000
0.433333,0.000000,0.000000,0.000000,-0.370000,-1.410000,0.610000,-0.760000,0.000000,0.000000,-0.720000,-1.250000,-1.540000,1.330000,0.000000,0.000000
0.466667,0.000000,0.000000,0.000000,-0.330000,-1.410000,0.570000,-0.720000,0.000000,0.000000,-0.770000,-1.210000,-1.630000,1.420000,0.000000,0.000000
0.500000,0.000000,0.000000,0.000000,-0.330000,-1.410000,0.520000,-0.720000,0.000000,0.000000,-0.810000,-1.250000,-1.670000,1.420000,0.000000,0.000000
0.533333,0.000000,0.000000,0.000000,-0.330000,-1.410000,0.480000,-0.680000,0.000000,0.000000,-0.770000,-1.250000,-1.630000,1.380000,0.000000,0.000000
0.566667,0.000000,0.000000,0.000000,-0.330000,-1.410000,0.480000,-0.680000,0.000000,0.000000,-0.770000,-1.250000,-1.630000,1.380000,0.000000,0.000000
0.600000,0.000000,0.000000,0.000000,-0.330000,-1.410000,0.480000,-0.680000,0.000000,0.000000,-0.730000,-1.250000,-1.550000,1.340000,0.000000,0.000000
0.633333,0.000000,0.000000,0.000000,-0.290000,-1.410000,0.480000,-0.720000,0.000000,0.000000,-0.640000,-1.250000,-1.460000,1.290000,0.000000,0.000000
0.666667,0.000000,0.000000,0.000000,-0.330000,-1.410000,0.480000,-0.720000,0.000000,0.000000,-0.590000,-1.250000,-1.360000,1.200000,0.000000,0.000000
0.700000,0.000000,0.000000,0.000000,-0.330000,-1.410000,0.520000,-0.760000,0.000000,0.000000,-0.500000,-1.290000,-1.180000,1.110000,0.000000,0.000000
0.733333,0.000000,0.000000,0.000000,-0.330000,-1.410000,0.570000,-0.810000,0.000000,0.000000,-0.410000,-1.290000,-1.000000,1.060000,0.000000,0.000000
0.766667,0.000000,0.000000,0.000000,-0.370000,-1.410000,0.620000,-0.850000,0.000000,0.000000,-0.370000,-1.330000,-0.870000,0.970000,0.000000,0.000000
0.800000,0.000000,0.000000,0.000000,-0.370000,-1.370000,0.710000,-0.890000,0.000000,0.000000,-0.320000,-1.330000,-0.780000,0.930000,0.000000,0.000000
0.833333,0.000000,0.000000,0.000000,-0.410000,-1.370000,0.750000,-0.930000,0.000000,0.000000,-0.280000,-1.330000,-0.690000,0.930000,0.000000,0.000000
0.866667,0.000000,0.000000,0.000000,-0.410000,-1.330000,0.830000,-0.970000,0.000000,0.000000,-0.280000,-1.330000,-0.690000,0.930000,0.000000,0.000000
0.900000,0.000000,0.000000,0.000000,-0.450000,-1.290000,0.870000,-1.010000,0.000000,0.000000,-0.280000,-1.330000,-0.690000,0.930000,0.000000,0.000000
0.933333,0.000000,0.000000,0.000000,-0.450000,-1.290000,0.870000,-1.010000,0.000000,0.000000,-0.280000,-1.330000,-0.690000,0.930000,0.000000,0.000000
0.966667,0.000000,0.000000,0.000000,-0.450000,-1.290000,0.870000,-1.010000,0.000000,0.000000,-0.280000,-1.330000,-0.730000,0.970000,0.000000,0.000000
1.000000,0.000000,0.000000,0.000000,-0.410000,-1.290000,0.830000,-1.010000,0.000000,0.000000,-0.330000,-1.290000,-0.820000,1.010000,0.000000,0.000000
1.033333,0.000000,0.000000,0.000000,-0.370000,-1.330000,0.740000,-0.970000,0.000000,0.000000,-0.330000,-1.290000,-0.860000,1.010000,0.000000,0.000000
1.066667,0.000000,0.000000,0.000000,-0.370000,-1.330000,0.690000,-0.920000,0.000000,0.000000,-0.370000,-1.250000,-0.940000,1.050000,0.000000,0.000000
1.100000,0.000000,0.000000,0.000000,-0.330000,-1.370000,0.600000,-0.880000,0.000000,0.000000,-0.370000,-1.290000,-0.940000,1.050000,0.000000,0.000000
1.133333,0.000000,0.000000,0.000000,-0.330000,-1.370000,0.560000,-0.840000,0.000000,0.000000,-0.370000,-1.290000,-0.900000,1.010000,0.000000,0.000000
1.166667,0.000000,0.000000,0.000000,-0.330000,-1.370000,0.520000,-0.800000,0.000000,0.000000,-0.370000,-1.290000,-0.900000,1.010000,0.000000,0.000000
1.200000,0.000000,0.000000,0.000000,-0.330000,-1.410000,0.480000,-0.760000,0.000000,0.000000,-0.370000,-1.330000,-0.860000,0.970000,0.000000,0.000000
1.233333,0.000000,0.000000,0.000000,-0.290000,-1.410000,0.440000,-0.760000,0.000000,0.000000,-0.330000,-1.330000,-0.770000,0.920000,0.000000,0.000000
1.266667,0.000000,0.000000,0.000000,-0.290000,-1.410000,0.440000,-0.720000,0.000000,0.000000,-0.290000,-1.370000,-0.680000,0.870000,0.000000,0.000000
1.300000,0.000000,0.000000,0.000000,-0.290000,-1.410000,0.480000,-0.720000,0.000000,0.000000,-0.250000,-1.370000,-0.590000,0.830000,0.000000,0.000000
1.333333,0.000000,0.000000,0.000000,-0.290000,-1.410000,0.480000,-0.720000,0.000000,0.000000,-0.250000,-1.410000,-0.500000,0.780000,0.000000,0.000000
1.366667,0.000000,0.000000,0.000000,-0.290000,-1.410000,0.480000,-0.720000,0.000000,0.000000,-0.210000,-1.410000,-0.410000,0.730000,0.000000,0.000000
1.400000,0.000000,0.000000,0.000000,-0.330000,-1.410000,0.520000,-0.680000,0.000000,0.000000,-0.210000,-1.410000,-0.370000,0.730000,0.000000,0.000000
1.433333,0.000000,0.000000,0.000000,-0.330000,-1.410000,0.520000,-0.680000,0.000000,0.000000,-0.210000,-1.410000,-0.330000,0.680000,0.000000,0.000000
1.466667,0.000000,0.000000,0.000000,-0.330000,-1.410000,0.520000,-0.680000,0.000000,0.000000,-0.210000,-1.410000,-0.330000,0.680000,0.000000,0.000000
1.500000,0.000000,0.000000,0.000000,-0.330000,-1.410000,0.520000,-0.680000,0.000000,0.000000,-0.210000,-1.410000,-0.290000,0.640000,0.000000,0.000000
1.533333,0.000000,0.000000,0.000000,-0.330000,-1.410000,0.520000,-0.680000,0.000000,0.000000,-0.210000,-1.410000,-0.290000,0.640000,0.000000,0.000000
1.566667,0.000000,0.000000,0.000000,-0.330000,-1.410000,0.520000,-0.680000,0.000000,0.000000,-0.210000,-1.410000,-0.250000,0.600000,0.000000,0.000000
1.600000,0.000000,0.000000,0.000000,-0.330000,-1.410000,0.520000,-0.640000,0.000000,0.000000,-0.210000,-1.410000,-0.250000,0.600000,0.000000,0.000000
1.633333,0.000000,0.000000,0.000000,-0.330000,-1.410000,0.520000,-0.640000,0.000000,0.000000,-0.210000,-1.410000,-0.250000,0.600000,0.000000,0.000000
1.666667,0.000000,0.000000,0.000000,-0.330000,-1.410000,0.520000,-0.640000,0.000000,0.000000,-0.210000,-1.410000,-0.250000,0.600000,0.000000,0.000000
1.700000,0.000000,0.000000,0.000000,-0.330000,-1.410000,0.480000,-0.640000,0.000000,0.000000,-0.210000,-1.410000,-0.290000,0.600000,0.000000,0.000000
1.733333,0.000000,0.000000,0.000000,-0.330000,-1.410000,0.480000,-0.640000,0.000000,0.000000,-0.210000,-1.410000,-0.290000,0.600000,0.000000,0.000000
1.766667,0.000000,0.000000,0.000000,-0.330000,-1.410000,0.480000,-0.640000,0.000000,0.000000,-0.210000,-1.410000,-0.290000,0.640000,0.000000,0.000000
1.800000,0.000000,0.000000,0.000000,-0.330000,-1.410000,0.440000,-0.600000,0.000000,0.000000,-0.210000,-1.410000,-0.330000,0.640000,0.000000,0.000000
1.833333,0.000000,0.000000,0.000000,-0.330000,-1.410000,0.440000,-0.600000,0.000000,0.000000,-0.210000,-1.410000,-0.330000,0.680000,0.000000,0.000000
1.866667,0.000000,0.000000,0.000000,-0.330000,-1.410000,0.440000,-0.600000,0.000000,0.000000,-0.210000,-1.410000,-0.330000,0.680000,0.000000,0.000000
1.900000,0.000000,0.000000,0.000000,-0.330000,-1.410000,0.440000,-0.600000,0.000000,0.000000,-0.210000,-1.410000,-0.370000,0.680000,0.000000,0.000000
1.933333,0.000000,0.000000,0.000000,-0.290000,-1.410000,0.400000,-0.640000,0.000000,0.000000,-0.210000,-1.410000,-0.370000,0.720000,0.000000,0.000000
1.966667,0.000000,0.000000,0.000000,-0.290000,-1.410000,0.400000,-0.640000,0.000000,0.000000,-0.210000,-1.410000,-0.410000,0.720000,0.000000,0.000000
2.000000,0.000000,0.000000,0.000000,-0.290000,-1.410000,0.440000,-0.680000,0.000000,0.000000,-0.210000,-1.410000,-0.410000,0.760000,0.000000,0.000000
2.033333,0.000000,0.000000,0.000000,-0.330000,-1.410000,0.480000,-0.680000,0.000000,0.000000,-0.250000,-1.410000,-0.450000,0.760000,0.000000,0.000000
2.066667,0.000000,0.000000,0.000000,-0.330000,-1.410000,0.480000,-0.720000,0.000000,0.000000,-0.210000,-1.370000,-0.490000,0.800000,0.000000,0.000000
2.100000,0.000000,0.000000,0.000000,-0.330000,-1.410000,0.520000,-0.760000,0.000000,0.000000,-0.250000,-1.370000,-0.530000,0.800000,0.000000,0.000000
2.133333,0.000000,0.000000,0.000000,-0.330000,-1.410000,0.520000,-0.800000,0.000000,0.000000,-0.250000,-1.370000,-0.530000,0.800000,0.000000,0.000000
2.166667,0.000000,0.000000,0.000000,-0.330000,-1.370000,0.560000,-0.840000,0.000000,0.000000,-0.250000,-1.370000,-0.530000,0.800000,0.000000,0.000000
2.200000,0.000000,0.000000,0.000000,-0.330000,-1.370000,0.600000,-0.880000,0.000000,0.000000,-0.250000,-1.370000,-0.570000,0.800000,0.000000,0.000000
2.233333,0.000000,0.000000,0.000000,-0.330000,-1.370000,0.600000,-0.880000,0.000000,0.000000,-0.250000,-1.370000,-0.570000,0.840000,0.000000,0.000000
2.266667,0.000000,0.000000,0.000000,-0.370000,-1.330000,0.680000,-0.920000,0.000000,0.000000,-0.290000,-1.370000,-0.610000,0.840000,0.000000,0.000000
2.300000,0.000000,0.000000,0.000000,-0.370000,-1.330000,0.680000,-0.920000,0.000000,0.000000,-0.250000,-1.370000,-0.610000,0.880000,0.000000,0.000000
2.333333,0.000000,0.000000,0.000000,-0.370000,-1.330000,0.680000,-0.920000,0.000000,0.000000,-0.290000,-1.330000,-0.650000,0.880000,0.000000,0.000000
2.366667,0.000000,0.000000,0.000000,-0.370000,-1.330000,0.680000,-0.920000,0.000000,0.000000,-0.290000,-1.330000,-0.690000,0.920000,0.000000,0.000000
2.400000,0.000000,0.000000,0.000000,-0.330000,-1.330000,0.640000,-0.920000,0.000000,0.000000,-0.290000,-1.330000,-0.690000,0.920000,0.000000,0.000000
2.433333,0.000000,0.000000,0.000000,-0.330000,-1.370000,0.550000,-0.830000,0.000000,0.000000,-0.290000,-1.330000,-0.690000,0.920000,0.000000,0.000000
2.466667,0.000000,0.000000,0.000000,-0.290000,-1.370000,0.500000,-0.830000,0.000000,0.000000,-0.290000,-1.330000,-0.730000,0.920000,0.000000,0.000000
2.500000,0.000000,0.000000,0.000000,-0.290000,-1.410000,0.410000,-0.740000,0.000000,0.000000,-0.290000,-1.330000,-0.730000,0.960000,0.000000,0.000000
2.533333,0.000000,0.000000,0.000000,-0.250000,-1.410000,0.360000,-0.730000,0.000000,0.000000,-0.330000,-1.290000,-0.810000,0.960000,0.000000,0.000000
2.566667,0.000000,0.000000,0.000000,-0.250000,-1.410000,0.270000,-0.640000,0.000000,0.000000,-0.330000,-1.290000,-0.850000,1.010000,0.000000,0.000000
2.600000,0.000000,0.000000,0.000000,-0.250000,-1.410000,0.220000,-0.590000,0.000000,0.000000,-0.370000,-1.290000,-0.890000,1.010000,0.000000,0.000000
2.633333,0.000000,0.000000,0.000000,-0.250000,-1.410000,0.170000,-0.500000,0.000000,0.000000,-0.410000,-1.290000,-0.980000,1.060000,0.000000,0.000000
2.666667,0.000000,0.000000,0.000000,-0.250000,-1.410000,0.120000,-0.450000,0.000000,0.000000,-0.450000,-1.290000,-1.030000,1.060000,0.000000,0.000000
2.700000,0.000000,0.000000,0.000000,-0.250000,-1.410000,0.070000,-0.360000,0.000000,0.000000,-0.450000,-1.250000,-1.120000,1.150000,0.000000,0.000000
2.733333,0.000000,0.000000,0.000000,-0.250000,-1.410000,0.030000,-0.270000,0.000000,0.000000,-0.500000,-1.250000,-1.210000,1.150000,0.000000,0.000000
2.766667,0.000000,0.000000,0.000000,-0.290000,-1.410000,0.030000,-0.180000,0.000000,0.000000,-0.550000,-1.210000,-1.300000,1.240000,0.000000,0.000000
2.800000,0.000000,0.000000,0.000000,-0.290000,-1.410000,-0.010000,-0.130000,0.000000,0.000000,-0.600000,-1.250000,-1.350000,1.240000,0.000000,0.000000
2.833333,0.000000,0.000000,0.000000,-0.290000,-1.370000,0.030000,-0.170000,0.000000,0.000000,-0.640000,-1.210000,-1.440000,1.280000,0.000000,0.000000
2.866667,0.000000,0.000000,0.000000,-0.250000,-1.370000,-0.010000,-0.220000,0.000000,0.000000,-0.680000,-1.210000,-1.480000,1.330000,0.000000,0.000000
2.900000,0.000000,0.000000,0.000000,-0.250000,-1.330000,0.030000,-0.310000,0.000000,0.000000,-0.680000,-1.210000,-1.520000,1.370000,0.000000,0.000000
2.933333,0.000000,0.000000,0.000000,-0.250000,-1.330000,-0.010000,-0.360000,0.000000,0.000000,-0.720000,-1.210000,-1.560000,1.370000,0.000000,0.000000
2.966667,0.000000,0.000000,0.000000,-0.210000,-1.330000,-0.010000,-0.410000,0.000000,0.000000,-0.720000,-1.210000,-1.560000,1.370000,0.000000,0.000000
