time_sec,joint_pelvisYaw,joint_pelvisPitch,joint_pelvisRoll,joint_lShoulderPitch,joint_lShoulderRoll,joint_lShoulderYaw,joint_lElbow,joint_lWristRoll,joint_lWristPitch,joint_rShoulderPitch,joint_rShoulderRoll,joint_rShoulderYaw,joint_rElbow,joint_rWristRoll,joint_rWristPitch
0.000000,-0.920300,0.250871,0.086551,0.034646,0.582900,1.230446,1.570000,0.478960,-0.710097,0.285120,-0.462938,-0.749954,1.086584,-0.020695,0.546187
0.033333,-0.953633,0.194905,0.039037,0.001313,0.482900,1.197113,1.470000,0.445627,-0.743431,0.251787,-0.362938,-0.716621,0.986584,-0.054029,0.446187
0.066667,-0.986967,0.138938,-0.034720,-0.032020,0.382900,1.230446,1.436667,0.412294,-0.710097,0.268635,-0.262938,-0.683288,0.886584,-0.020695,0.412853
0.100000,-0.953633,0.149638,-0.134720,0.001313,0.349566,1.263779,1.403333,0.378960,-0.610097,0.285484,-0.229605,-0.716621,0.786584,0.012638,0.446187
0.133333,-0.920300,0.116305,-0.168054,0.034646,0.316233,1.230446,1.370000,0.278960,-0.510097,0.302332,-0.196271,-0.749954,0.753251,-0.020695,0.479520
0.166667,-0.820300,0.088648,-0.134721,0.067980,0.349566,1.130446,1.336667,0.245627,-0.476764,0.268999,-0.162938,-0.783288,0.719918,-0.120695,0.512853
0.200000,-0.786967,0.027657,-0.101387,0.101313,0.382900,1.030446,1.303333,0.212294,-0.443431,0.235666,-0.062938,-0.749954,0.686584,-0.220695,0.479520
0.233333,-0.753633,0.000000,-0.068054,0.067980,0.416233,0.997113,1.270000,0.178960,-0.476764,0.135666,-0.029605,-0.649954,0.586584,-0.254029,0.446187
0.266667,-0.786967,0.000000,-0.101387,0.034646,0.449566,1.030446,1.170000,0.078960,-0.443431,0.102332,0.003729,-0.549954,0.486584,-0.287362,0.346187
0.300000,-0.820300,0.033333,-0.134721,0.001313,0.416233,1.130446,1.070000,-0.021040,-0.410097,0.068999,-0.029605,-0.449954,0.453251,-0.254029,0.269500
0.333333,-0.853633,0.100000,-0.234720,0.034646,0.382900,1.163779,0.970000,-0.121040,-0.310097,0.102332,-0.062938,-0.349954,0.419918,-0.287362,0.259479
0.366667,-0.886967,0.133333,-0.306480,0.067980,0.282900,1.130446,0.870000,-0.221040,-0.276764,0.135666,-0.096271,-0.306338,0.386584,-0.320695,0.249459
0.400000,-0.853633,0.123008,-0.344907,0.101313,0.182900,1.030446,0.836667,-0.254373,-0.243431,0.168999,-0.062938,-0.262722,0.353251,-0.354029,0.282792
0.433333,-0.820300,0.112683,-0.316667,0.067980,0.149566,0.948841,0.803333,-0.287706,-0.210097,0.135666,-0.029605,-0.285772,0.319918,-0.387362,0.289111
0.466667,-0.720300,0.169025,-0.250000,0.034646,0.182900,0.900569,0.770000,-0.321040,-0.110097,0.035666,-0.062938,-0.319106,0.286584,-0.420695,0.328764
0.500000,-0.686967,0.202359,-0.150000,0.001313,0.216233,0.918964,0.670000,-0.421040,-0.076764,0.002332,-0.096271,-0.352439,0.186584,-0.520592,0.301750
0.533333,-0.720300,0.169025,-0.116667,0.034646,0.249566,0.918964,0.636666,-0.454373,-0.043431,0.035666,-0.062938,-0.319106,0.086584,-0.620489,0.301750
0.566667,-0.820300,0.135692,-0.150000,0.067980,0.240271,0.952298,0.603333,-0.487706,-0.076764,0.068999,0.037062,-0.219106,-0.013416,-0.653719,0.268417
0.600000,-0.853633,0.102359,-0.187176,0.034646,0.297642,0.952398,0.636666,-0.454373,-0.110097,0.102332,0.070395,-0.119106,-0.113416,-0.687052,0.301750
0.633333,-0.820300,0.079350,-0.157686,-0.065354,0.355014,1.019164,0.603333,-0.421040,-0.210097,0.135666,0.037062,-0.019106,-0.146749,-0.720385,0.268417
0.666667,-0.720300,0.023008,-0.061529,-0.165354,0.455014,1.059726,0.636666,-0.341079,-0.310097,0.168999,0.003729,0.014228,-0.180082,-0.753719,0.301750
0.700000,-0.686967,0.000000,-0.028195,-0.265354,0.555014,1.133520,0.670000,-0.261118,-0.410097,0.135666,-0.029605,0.047561,-0.146749,-0.787052,0.268417
0.733333,-0.653633,0.000000,-0.061529,-0.365354,0.655014,1.140648,0.770000,-0.181157,-0.443431,0.035666,-0.062938,0.080894,-0.180082,-0.820385,0.301750
0.766667,-0.620300,0.000000,-0.094862,-0.465354,0.688347,1.107315,0.803333,-0.081157,-0.476764,-0.064334,-0.096271,0.114228,-0.146749,-0.920385,0.335083
0.800000,-0.520300,0.000000,-0.061529,-0.498687,0.721680,1.073982,0.770000,0.014674,-0.443431,-0.097668,-0.129605,0.080894,-0.169831,-1.020386,0.368417
0.833333,-0.486967,0.033333,-0.028195,-0.465354,0.688347,1.040648,0.670000,0.110506,-0.410097,-0.131001,-0.162938,-0.019106,-0.126245,-1.120386,0.401750
0.866667,-0.453633,0.100000,-0.061529,-0.432021,0.721680,1.073982,0.570000,0.206338,-0.376764,-0.097668,-0.262938,-0.119106,-0.149327,-1.153719,0.368417
0.900000,-0.486967,0.200000,-0.161529,-0.407748,0.755014,1.040648,0.470000,0.239671,-0.343431,-0.131001,-0.362938,-0.219106,-0.182660,-1.120386,0.335083
0.933333,-0.520300,0.233333,-0.257686,-0.383475,0.801199,1.007315,0.436666,0.265237,-0.310097,-0.164334,-0.396271,-0.319106,-0.215994,-1.020386,0.235083
0.966667,-0.586967,0.233333,-0.320510,-0.325869,0.814051,0.940648,0.436666,0.257468,-0.243431,-0.231001,-0.396271,-0.385772,-0.215994,-0.953719,0.168417
