time_sec,joint_pelvisYaw,joint_pelvisPitch,joint_pelvisRoll,joint_lShoulderPitch,joint_lShoulderRoll,joint_lShoulderYaw,joint_lElbow,joint_lWristRoll,joint_lWristPitch,joint_rShoulderPitch,joint_rShoulderRoll,joint_rShoulderYaw,joint_rElbow,joint_rWristRoll,joint_rWristPitch
0.000000,-0.007686,0.003937,0.019289,-0.246655,-1.068642,0.002579,-0.475954,0.001291,0.006162,-0.257991,-1.055108,-0.065495,0.343495,0.004316,-0.007951
0.033333,-0.012839,0.000676,0.022149,-0.250422,-1.079467,0.004987,-0.395946,0.010813,-0.003182,-0.268397,-1.054333,-0.054910,0.298427,0.003016,-0.004552
0.066667,-0.010790,0.010060,0.016046,-0.203497,-1.086557,0.032495,-0.881493,0.002561,0.004639,-0.089867,-0.991602,-0.215804,0.939521,0.007824,-0.004118
0.100000,-0.016431,0.010857,0.019489,-0.410734,-1.071773,0.337795,-1.397326,-0.000818,0.013550,-0.092755,-0.921858,-0.032580,0.876071,0.009028,0.015112
0.133333,-0.000005,0.007640,0.021838,-0.214009,-0.912778,-0.041229,-1.117037,0.015941,0.000519,-0.183638,-0.977623,-0.070331,0.600103,0.010177,0.007493
0.166667,-0.014671,0.044248,0.028831,3.030834,-0.767358,0.358884,-0.834114,0.026006,-0.008455,-0.168404,-0.829737,-0.140624,0.484898,-0.000040,0.042684
0.200000,-0.013616,0.015841,0.020870,-0.309284,-1.059864,0.088863,-1.405224,0.012433,0.005229,-0.033564,-0.814130,-0.038092,1.202572,0.016624,0.010503
0.233333,-0.005436,0.001541,0.020637,-0.269139,-1.085134,0.002587,-0.385573,0.014239,-0.002333,-0.271614,-1.060524,-0.060055,0.288931,0.009137,-0.000683
0.266667,-0.008332,0.050584,0.025748,3.260353,-0.702036,0.557857,-1.058142,0.032088,0.002333,-0.114577,-0.794653,-0.088129,0.811504,-0.001020,0.048703
0.300000,-0.007742,0.004670,0.019198,-0.222295,-0.950092,-0.082071,-1.261015,0.002601,0.008177,-0.133565,-0.896624,-0.048717,0.775083,0.012406,0.009583
0.333333,-0.002826,0.004972,0.024301,-0.976565,-1.098384,1.321505,-1.474111,0.030603,0.003047,-0.184647,-1.145900,-0.045931,0.553690,-0.003156,0.016820
0.366667,0.000249,0.009791,0.019089,-0.624534,-1.100679,0.877441,-1.344831,0.012542,-0.003997,-0.120311,-1.084663,-0.050011,0.733107,0.005079,0.011982
0.400000,-0.008020,0.009394,0.016774,-0.431592,-1.075476,0.413832,-1.367400,0.009947,0.015923,-0.141503,-0.993490,-0.023429,0.666229,0.010174,0.006772
0.433333,-0.003602,0.054840,0.028295,3.380958,-0.717330,0.595413,-1.205470,0.032724,-0.000095,-0.117438,-0.773491,-0.058897,0.868438,0.000393,0.053751
0.466667,-0.004348,0.057314,0.028652,3.375695,-0.720025,0.565143,-1.177266,0.027501,0.001763,-0.118451,-0.780827,-0.055656,0.861902,0.005257,0.050351
0.500000,-0.010364,0.055308,0.026141,3.293529,-0.719147,0.519807,-1.069789,0.030401,0.000413,-0.115833,-0.789827,-0.075340,0.843214,0.004768,0.050276
0.533333,-0.003372,0.056973,0.025318,3.398447,-0.716594,0.576310,-1.180426,0.028214,-0.000356,-0.118648,-0.772234,-0.052760,0.880417,0.005626,0.052833
0.566667,-0.009458,0.006080,0.020845,-1.100048,-1.119474,1.515568,-1.464638,0.014116,-0.002948,-0.206152,-1.175546,-0.047703,0.520873,0.001505,0.032060
0.600000,-0.013787,0.011696,0.021021,-0.298683,-1.064825,0.054804,-1.396269,0.013404,-0.002094,-0.026803,-0.810725,-0.038341,1.224099,0.012923,0.008327
0.633333,-0.012702,0.050534,0.028132,3.214318,-0.692255,0.573891,-1.042167,0.034875,0.002100,-0.116632,-0.793606,-0.098313,0.827842,-0.004085,0.049424
0.666667,0.002022,0.011877,0.015975,-0.253684,-1.147245,0.214125,-1.211162,0.014635,0.002075,-0.018756,-0.872707,-0.217914,1.222245,0.003769,0.009576
0.700000,-0.014867,0.008460,0.016925,-0.177488,-0.961640,-0.038452,-0.803500,0.004087,0.003344,-0.174225,-1.038051,-0.129086,0.629599,0.018352,0.010741
0.733333,-0.007369,0.053874,0.028332,3.356539,-0.742654,0.488494,-1.036604,0.030248,-0.002098,-0.113510,-0.797665,-0.082934,0.795113,0.003036,0.052395
0.766667,-0.005496,0.003947,0.021660,-0.451799,-1.074212,0.440225,-1.391159,0.003086,0.005946,-0.129167,-0.995042,-0.027895,0.698110,0.005470,0.006800
0.800000,-0.011993,0.003291,0.021389,-0.242014,-1.055987,0.008515,-0.492260,0.009063,0.009217,-0.262058,-1.058608,-0.064656,0.329507,0.008061,-0.000504
0.833333,-0.008840,0.003590,0.022564,-0.254731,-1.062448,0.002822,-0.463899,0.002918,0.007542,-0.256144,-1.056720,-0.063887,0.332976,0.010834,-0.000850
0.866667,-0.008032,0.050618,0.023099,3.330129,-0.704989,0.582124,-1.130554,0.032734,-0.002941,-0.119818,-0.778062,-0.070399,0.888662,0.000150,0.053673
0.900000,-0.008112,0.014165,0.015084,-0.386569,-1.079588,0.291746,-1.418630,0.003039,0.005188,-0.061482,-0.872432,-0.034980,1.026259,0.005215,0.005581
0.933333,-0.004347,0.015070,0.017503,-0.291543,-1.045913,0.017509,-1.393562,0.013016,0.001851,-0.034109,-0.805687,-0.037701,1.206762,0.011159,0.008548
0.966667,-0.005069,0.056394,0.027609,3.411577,-0.726962,0.592612,-1.276735,0.026562,-0.000539,-0.131004,-0.738416,-0.047699,0.935111,0.003007,0.053639
1.000000,-0.006925,0.005422,0.018041,-0.201189,-1.019024,0.009651,-0.661157,0.005652,0.008911,-0.242441,-1.053755,-0.076365,0.396746,0.010460,-0.001360
1.033333,-0.010600,0.047481,0.030387,3.232705,-0.685800,0.573511,-1.065858,0.031197,0.003205,-0.114079,-0.850631,-0.082888,0.567491,0.003333,0.048378
1.066667,-0.007057,0.053655,0.022050,3.312820,-0.717360,0.565327,-1.203043,0.029618,0.001676,-0.122359,-0.779089,-0.044284,0.920265,0.001535,0.051780
1.100000,-0.010593,0.013783,0.020651,-0.342091,-1.067680,0.149200,-1.409623,0.010076,0.001182,-0.039390,-0.827261,-0.036776,1.151082,0.019040,0.018746
1.133333,-0.011132,0.011158,0.016675,-0.193580,-0.885660,-0.085714,-1.153134,0.008642,0.004009,-0.127775,-0.939487,-0.090596,0.801758,0.021393,0.011332
