time_sec,joint_pelvisYaw,joint_pelvisPitch,joint_pelvisRoll,joint_lShoulderPitch,joint_lShoulderRoll,joint_lShoulderYaw,joint_lElbow,joint_lWristRoll,joint_lWristPitch,joint_rShoulderPitch,joint_rShoulderRoll,joint_rShoulderYaw,joint_rElbow,joint_rWristRoll,joint_rWristPitch
0.000000,0.013101,0.006061,-0.007066,-0.202920,-1.270245,-0.002697,-0.293074,0.020857,-0.035121,0.101017,-0.894820,-0.192102,0.570910,-0.000320,0.005595
0.033333,0.011372,0.006977,-0.013492,-0.267334,-1.278912,0.032354,-0.191839,0.019297,-0.036376,-0.057242,-1.003524,-0.058130,0.348938,0.001138,0.001283
0.066667,0.002157,0.035580,0.006068,-0.123097,-1.237635,0.002905,-0.560332,0.015641,-0.040173,1.957976,0.611161,-1.608257,1.416798,-0.029262,0.068318
0.100000,0.000459,0.030846,0.010498,-0.013612,-1.063590,0.060990,-1.308621,0.033387,-0.012625,2.195283,0.276372,-0.316746,1.425476,-0.028763,0.055307
0.133333,0.015738,0.008649,-0.006412,-0.064290,-1.178091,0.048362,-0.852833,0.017661,-0.038332,-0.113769,-0.644795,-0.091397,1.113354,0.010620,0.011297
0.166667,-0.002172,0.029081,-0.003649,-0.111176,-1.303112,-0.057972,-0.502270,-0.017689,-0.035565,0.708957,0.529567,-1.889840,1.374110,-0.023194,0.031646
0.200000,0.001323,0.027911,0.013377,0.000809,-1.070129,0.056652,-1.304723,0.011171,-0.011661,2.211175,0.281668,-0.336115,1.421433,-0.042587,0.065066
0.233333,0.014919,0.004272,-0.013836,-0.260755,-1.274075,0.029635,-0.203231,0.018816,-0.034792,-0.052986,-0.988878,-0.065522,0.365565,0.002565,0.003959
0.266667,-0.004955,0.036392,0.009735,-0.038914,-1.102617,0.021416,-0.792481,0.015544,-0.032791,2.351713,0.401354,-1.099278,1.435683,-0.033897,0.057226
0.300000,-0.004174,0.033793,0.007132,-0.147550,-1.261002,0.035494,-1.479953,-0.005208,-0.022213,1.916062,0.915475,-0.539411,0.827859,-0.037207,0.056252
0.333333,-0.006825,0.035299,0.010989,-0.165712,-1.246925,0.078998,-1.455773,-0.008503,-0.021403,2.111460,0.772767,-0.451277,0.846379,-0.037359,0.067557
0.366667,-0.014052,0.020848,-0.002087,0.015487,-1.205472,0.096035,-0.563105,0.018342,-0.012274,2.350713,-0.464136,-0.288755,1.284583,-0.034250,0.049385
0.400000,-0.006125,0.032040,0.012656,-0.099771,-1.240761,-0.023717,-1.153708,-0.005410,-0.034398,1.914230,0.912536,-1.192502,1.273778,-0.038660,0.061503
0.433333,-0.017328,0.029249,0.010847,-0.011124,-1.090492,0.049198,-1.288723,0.012885,-0.013501,2.290184,0.355619,-0.425994,1.391031,-0.024450,0.059708
0.466667,-0.004325,0.011852,0.015022,0.032053,-1.156170,0.064044,-1.018702,0.033414,-0.030942,1.481544,-0.244605,-0.153606,1.291551,-0.015783,0.054778
0.500000,0.005142,0.015704,0.002970,-0.004779,-1.161442,0.066532,-1.000585,0.015446,-0.035090,0.195786,-0.504247,-0.098947,1.329562,0.005043,0.013112
0.533333,-0.009730,0.038137,0.007472,0.010577,-1.194943,0.078728,-0.728842,0.024600,-0.020430,2.931439,-0.215032,-0.467213,1.292912,-0.050897,0.045217
0.566667,-0.012474,0.039688,0.001589,-0.237252,-1.311092,0.197242,-0.537171,0.006742,-0.034623,2.401799,0.725345,-1.593529,1.121997,-0.041453,0.052835
0.600000,0.007418,0.039236,0.004196,-0.072656,-1.217873,-0.035682,-0.837517,-0.008021,-0.018824,1.637007,0.845708,-1.442326,1.344969,-0.036567,0.055969
0.633333,0.001785,0.029703,0.000483,-0.098078,-1.226002,-0.027915,-0.771676,-0.003971,-0.037975,1.791965,0.834327,-1.475891,1.313633,-0.013421,0.054635
0.666667,-0.019910,0.042559,0.003064,-0.084691,-1.199179,0.073519,-0.622807,0.010464,-0.025857,2.881154,0.106198,-1.168973,1.440005,-0.029038,0.045060
0.700000,0.009199,0.012827,0.001248,-0.022606,-1.169472,0.029111,-0.879554,0.015498,-0.038452,0.146233,-0.511923,-0.139583,1.217273,0.007825,0.011401
0.733333,-0.006799,0.041085,0.004361,-0.038005,-1.203363,0.061647,-0.717065,0.021813,-0.020445,3.102546,-0.035943,-0.789868,1.366027,-0.038322,0.047948
0.766667,-0.008023,0.039259,0.005669,-0.092522,-1.239951,-0.018302,-1.252067,0.005450,-0.013656,1.956355,0.904928,-1.060355,1.269157,-0.034349,0.064480
0.800000,0.011252,0.006850,-0.008399,-0.226822,-1.264407,0.003555,-0.257079,0.020677,-0.037110,0.020556,-0.909867,-0.093366,0.471078,0.001074,0.004740
0.833333,0.014451,0.005020,-0.013848,-0.266584,-1.279006,0.029749,-0.191308,0.019750,-0.034882,-0.057077,-0.994676,-0.058832,0.342940,0.001449,0.001797
0.866667,-0.001043,0.032140,0.005283,-0.113381,-1.253626,0.006652,-0.535332,0.000158,-0.010494,1.929360,0.603048,-1.656257,1.406749,-0.016919,0.035852
0.900000,-0.008204,0.033838,0.013654,-0.029784,-1.129473,0.019362,-1.263397,0.024797,-0.014885,2.214593,0.537015,-0.633718,1.391825,-0.024608,0.078866
0.933333,-0.010907,0.037108,0.005444,-0.014874,-1.195957,0.054740,-0.753031,0.018212,-0.010002,3.040384,-0.139943,-0.554783,1.309065,-0.033131,0.043342
0.966667,-0.003631,0.029939,0.007713,-0.062498,-1.213757,-0.019709,-1.323364,0.004806,-0.014620,1.957011,0.853736,-0.923029,1.342017,-0.037130,0.055960
1.000000,0.013061,0.008304,-0.012849,-0.270136,-1.276595,0.028735,-0.190684,0.019119,-0.036291,-0.055772,-0.997842,-0.061574,0.350944,0.000468,0.002436
1.033333,-0.013145,0.056093,0.000810,-0.156044,-1.148641,0.266509,-1.122728,0.022225,-0.013758,3.370490,-0.174620,-0.292720,0.778321,-0.041469,0.044981
1.066667,0.001129,0.014900,0.000977,0.003750,-1.167354,0.153878,-1.217569,0.015590,-0.027844,0.018764,-0.487504,-0.058794,1.476534,0.007490,0.011988
1.100000,0.005355,0.015083,0.000971,0.000233,-1.166051,0.174685,-1.237799,0.014310,-0.032519,-0.077169,-0.504693,-0.074318,1.492884,0.010839,0.015984
1.133333,-0.003337,0.024328,0.017172,-0.018723,-1.077509,0.047011,-1.275939,0.016565,0.001365,2.273038,0.330926,-0.421734,1.390057,-0.048796,0.053420
1.166667,-0.019332,0.027523,0.010967,-0.095875,-1.237906,-0.035927,-0.758781,0.006968,-0.040412,1.780055,0.831545,-1.514544,1.323309,-0.044461,0.043387
1.200000,0.014497,0.011798,-0.004740,-0.185489,-1.238053,-0.011164,-0.327523,0.015283,-0.042455,0.020524,-0.572554,-0.061358,0.715049,-0.000344,0.006174
1.233333,-0.001558,0.010642,0.012544,0.025270,-1.166600,0.066310,-1.014351,0.022823,-0.015096,1.421857,-0.275513,-0.142298,1.286550,-0.016853,0.048507
1.266667,0.009465,0.011167,-0.003068,-0.020689,-1.199032,0.179445,-1.194083,0.011812,-0.033479,-0.326247,-0.545300,-0.257211,1.499815,0.010721,0.005707
1.300000,-0.014063,0.051080,-0.001153,-0.176429,-1.128538,0.294020,-1.158245,0.017971,0.006753,3.478029,-0.242154,-0.125372,0.861177,-0.048425,0.038794
1.333333,-0.013131,0.032991,0.001772,-0.118999,-1.285898,-0.048667,-0.535575,-0.015655,-0.038482,1.388492,0.736006,-1.859357,1.309527,-0.035899,0.036657
1.366667,-0.010802,0.050804,0.001175,-0.168556,-1.148560,0.280003,-1.137767,0.021650,-0.003943,3.362358,-0.174771,-0.288925,0.766917,-0.045593,0.053380
1.400000,-0.009521,0.031266,0.007933,-0.210093,-1.262725,0.137654,-1.480096,-0.001594,-0.017758,2.170986,0.744897,-0.316017,0.646390,-0.039258,0.061720
1.433333,-0.011082,0.052103,-0.000553,-0.172867,-1.129500,0.288552,-1.149055,0.020535,0.003617,3.462970,-0.229224,-0.152238,0.852980,-0.053235,0.046556
1.466667,0.000749,0.043243,0.002019,0.048088,-1.172337,0.135958,-1.005562,0.020252,-0.015502,2.892584,-0.156557,-0.336727,0.972603,-0.042940,0.057410
1.500000,0.006632,0.021101,-0.007642,-0.048146,-1.282499,-0.008439,-0.685097,0.000486,-0.033806,-0.274994,-0.092043,-1.384961,1.448663,0.001454,0.018230
1.533333,0.009637,0.010532,-0.001962,-0.138800,-1.267450,-0.004864,-0.471020,0.013823,-0.030258,0.394179,-0.660577,-0.916274,1.054874,-0.006653,0.017038
1.566667,-0.007430,0.028156,0.010925,-0.076921,-1.225960,-0.024295,-1.252160,-0.004795,-0.005502,1.918026,0.889039,-1.053543,1.317745,-0.031175,0.046317
1.600000,-0.007711,0.030721,0.003854,-0.132829,-1.256626,0.006195,-0.499254,-0.006421,-0.020867,1.938885,0.537962,-1.717408,1.411528,-0.045434,0.036319
1.633333,0.011932,0.005219,-0.009164,-0.249547,-1.272012,0.017478,-0.223097,0.019854,-0.037490,-0.025550,-0.955118,-0.073902,0.407739,-0.000602,0.002565
1.666667,0.010111,0.008916,-0.003485,-0.151488,-1.245171,-0.036747,-0.376700,0.022625,-0.038179,0.210924,-0.712050,-0.157550,0.643469,-0.000955,0.008711
1.700000,0.012864,0.010229,-0.002886,-0.110753,-1.246049,-0.018002,-0.567760,0.009780,-0.025881,0.253341,-0.509885,-1.128650,1.196383,-0.004039,0.007325
1.733333,-0.012859,0.032576,-0.003130,-0.133776,-1.280413,-0.020349,-0.530852,0.002624,-0.027801,1.761495,0.671365,-1.761933,1.363230,-0.034348,0.064808
1.766667,-0.014033,0.046354,0.009219,-0.104054,-1.204375,0.070141,-1.128480,0.010235,-0.019949,2.586756,0.671881,-1.118775,1.459349,-0.043254,0.053448
1.800000,0.003257,0.016599,-0.001068,0.017123,-1.152327,0.157688,-1.235100,0.013926,-0.028719,0.082886,-0.463858,-0.052459,1.483798,0.007777,0.017442
1.833333,0.004188,0.038322,-0.001989,-0.128700,-1.214149,0.066121,-0.521499,0.010457,-0.015046,2.439323,0.277825,-1.508616,1.450521,-0.048815,0.018839
1.866667,-0.002674,0.035973,0.002340,-0.047090,-1.187010,-0.021207,-0.877311,-0.005839,-0.027379,1.531404,0.806339,-1.326523,1.428058,-0.033181,0.047007
1.900000,-0.012525,0.043031,-0.010367,-0.707877,-1.233443,1.169225,-1.541001,0.002728,-0.013310,2.500803,-0.405441,-0.177786,0.439089,-0.043008,0.044780
1.933333,-0.000361,0.022792,0.004408,-0.014639,-1.188796,-0.020085,-1.269906,0.003377,-0.015574,1.391194,0.852473,-1.101359,1.500720,-0.033479,0.046467
1.966667,-0.001886,0.033776,-0.002909,-0.129048,-1.302124,-0.044455,-0.525599,0.004515,-0.031229,1.297067,0.720367,-1.881219,1.307298,-0.026220,0.034471
2.000000,0.006678,0.012930,0.001374,-0.016809,-1.177633,0.193016,-1.227689,0.015934,-0.028519,-0.154315,-0.568316,-0.086474,1.476086,0.004434,0.006867
2.033333,0.011588,0.011749,-0.005035,-0.018991,-1.240931,0.123572,-1.066757,0.007396,-0.034296,-0.465506,-0.509471,-0.495305,1.501047,0.009589,0.002682
