time_sec,joint_pelvisYaw,joint_pelvisPitch,joint_pelvisRoll,joint_lShoulderPitch,joint_lShoulderRoll,joint_lShoulderYaw,joint_lElbow,joint_lWristRoll,joint_lWristPitch,joint_rShoulderPitch,joint_rShoulderRoll,joint_rShoulderYaw,joint_rElbow,joint_rWristRoll,joint_rWristPitch
0.000000,-0.053194,0.036199,-0.009121,-0.368413,-0.611123,-0.211025,-1.336009,0.052921,0.001365,3.429328,-0.314458,-0.413704,0.886400,0.005921,-0.015238
0.033333,-0.012838,0.016514,0.002834,-0.209336,-1.244384,0.241597,-0.736741,0.012710,0.011301,-0.169873,-1.204302,-0.181066,0.614492,-0.014101,-0.015719
0.066667,-0.060285,0.034488,-0.006168,-0.328196,-0.588925,-0.218509,-1.297057,0.055730,-0.003134,3.504736,-0.330718,-0.239918,0.532114,0.005544,-0.014622
0.100000,-0.007367,0.018415,0.007851,-0.219524,-0.952364,-0.075534,-0.533985,0.008764,0.010805,-0.784781,-1.267196,-1.615404,1.370876,0.008377,-0.010220
0.133333,-0.011682,0.013843,0.005881,-0.256599,-1.280857,0.365653,-0.740405,0.008936,0.010415,-0.176424,-1.217076,-0.307305,0.754012,-0.002230,-0.005676
0.166667,-0.011863,0.018331,0.002517,-0.112112,-0.951239,-0.292451,-1.379254,0.020538,0.009767,-0.205161,-0.840443,0.190194,1.494058,0.001378,-0.014709
0.200000,-0.007484,0.018924,0.000694,-0.104412,-0.934576,-0.294290,-1.400978,0.018609,0.011217,-0.185691,-0.852015,0.183463,1.437511,-0.018795,-0.015560
0.233333,-0.058362,0.034708,-0.006604,-0.361279,-0.607460,-0.213492,-1.335948,0.047934,-0.009832,3.484265,-0.315768,-0.400592,0.846496,0.016521,-0.008856
0.266667,-0.069183,0.034454,-0.007406,-0.328693,-0.588446,-0.226757,-1.288041,0.049546,0.000706,3.648805,-0.313951,-0.253461,0.535467,-0.000723,-0.008648
0.300000,-0.010930,0.018267,0.002703,-0.108213,-0.991360,-0.264530,-1.279396,0.013054,0.012828,-0.195015,-0.783169,0.191236,1.507619,-0.001667,-0.013519
0.333333,-0.018452,0.010507,0.004787,-0.279931,-1.288792,0.446181,-0.745494,0.003695,0.005182,-0.235506,-1.215753,-0.519872,0.873280,-0.006954,-0.003366
0.366667,-0.008561,0.018746,-0.001331,-0.064275,-0.924991,-0.290581,-1.409476,0.021474,0.004568,-0.118859,-0.861644,0.092769,1.106044,-0.009936,-0.021804
0.400000,-0.005919,0.019701,0.003083,-0.052066,-1.024704,-0.116502,-1.050418,0.015488,0.005329,-0.207646,-0.925045,-0.024612,0.362804,-0.012688,-0.022718
