time_sec,joint_pelvisYaw,joint_pelvisPitch,joint_pelvisRoll,joint_lShoulderPitch,joint_lShoulderRoll,joint_lShoulderYaw,joint_lElbow,joint_lWristRoll,joint_lWristPitch,joint_rShoulderPitch,joint_rShoulderRoll,joint_rShoulderYaw,joint_rElbow,joint_rWristRoll,joint_rWristPitch
0.000000,-0.023306,0.011714,0.003083,-0.397230,-1.383190,0.500154,-0.641754,0.039402,0.113971,-0.494116,-1.268479,-0.005433,1.299559,-0.054459,0.104865
0.033333,-0.044857,0.032932,0.023303,-0.423055,-1.392299,0.533691,-0.628414,0.023568,0.115856,-0.517548,-1.291538,-0.088638,1.255180,-0.078222,0.058929
0.066667,-0.032191,0.050589,0.012082,-0.441815,-1.394989,0.528717,-0.619296,0.030030,0.094245,-0.507184,-1.295683,-0.095815,1.243907,-0.068054,0.043255
0.100000,-0.039526,0.072266,-0.019140,-0.440574,-1.377679,0.543743,-0.607212,0.022639,0.083848,-0.497465,-1.283692,-0.122991,1.249045,-0.037887,0.047581
0.133333,-0.018584,0.053942,-0.050361,-0.422896,-1.375007,0.547033,-0.610168,0.012164,0.066795,-0.472791,-1.271700,-0.110167,1.254183,-0.007719,0.060569
0.166667,0.002359,0.048038,-0.059087,-0.430820,-1.359269,0.524291,-0.613124,0.014433,0.041877,-0.435606,-1.280075,-0.061315,1.279639,0.033568,0.087691
0.200000,0.004852,0.048038,-0.043650,-0.413815,-1.356640,0.490889,-0.628019,0.008382,0.017681,-0.395121,-1.281669,-0.001315,1.265095,0.044088,0.095991
0.233333,-0.009948,0.029933,-0.036235,-0.398775,-1.359312,0.495938,-0.636106,-0.009949,0.028151,-0.388288,-1.288695,0.021498,1.239635,0.045395,0.107561
0.266667,0.015252,0.005914,0.011180,-0.388169,-1.381984,0.470217,-0.633892,0.002872,0.047408,-0.400809,-1.294638,0.084311,1.187576,0.027618,0.110398
0.300000,0.035195,0.001895,0.026565,-0.391898,-1.376162,0.472096,-0.615343,0.011029,0.059599,-0.394467,-1.287397,0.107523,1.135518,0.032671,0.120030
0.333333,0.015138,0.004392,0.032184,-0.392318,-1.398834,0.493568,-0.594315,0.019119,0.072009,-0.408160,-1.294350,0.116504,1.078260,0.009529,0.102473
0.366667,0.004514,0.026890,0.025706,-0.399063,-1.401506,0.514168,-0.538569,0.000457,0.092419,-0.408194,-1.318001,0.107420,1.061002,-0.002390,0.063738
0.400000,0.007252,0.027493,0.028046,-0.370460,-1.401506,0.534768,-0.518076,0.006119,0.112829,-0.387524,-1.335134,0.122222,1.050711,-0.011247,0.054440
0.433333,-0.012420,0.029564,0.002498,-0.377422,-1.401506,0.568248,-0.525219,-0.009616,0.093239,-0.364498,-1.362626,0.099882,1.039795,-0.025309,0.046112
0.466667,-0.036669,0.036713,-0.006885,-0.377368,-1.390000,0.571581,-0.572361,0.000175,0.071092,-0.367184,-1.390164,0.079837,1.032602,-0.062201,0.057863
0.500000,-0.038091,0.034216,-0.009882,-0.354642,-1.375557,0.589565,-0.581982,0.003057,0.057586,-0.384484,-1.383139,0.050544,1.022278,-0.070898,0.065636
0.533333,-0.023162,0.011718,-0.026888,-0.358362,-1.375557,0.611907,-0.606703,0.035142,0.059059,-0.406719,-1.382708,0.009932,0.971954,-0.073197,0.097975
0.566667,-0.030506,0.009220,-0.015597,-0.402083,-1.375557,0.621957,-0.614368,0.030270,0.048260,-0.424201,-1.382708,-0.057378,0.954663,-0.092156,0.090314
0.600000,-0.023219,0.007149,0.000250,-0.405802,-1.375557,0.634473,-0.627666,0.028824,0.043272,-0.404039,-1.379526,-0.087548,0.949052,-0.086825,0.087602
0.633333,-0.028046,0.005521,0.000788,-0.418642,-1.395557,0.672123,-0.601416,0.009605,0.045812,-0.387215,-1.363658,-0.120410,0.941339,-0.054263,0.063128
0.666667,-0.020567,0.017244,-0.007532,-0.467166,-1.410000,0.709773,-0.589859,0.016571,0.054895,-0.335742,-1.381514,-0.138345,0.903827,-0.061701,0.040660
0.700000,-0.037287,0.017244,-0.013310,-0.482919,-1.410000,0.777044,-0.584757,0.000426,0.046636,-0.288496,-1.381945,-0.140662,0.906316,-0.078777,0.033627
0.733333,-0.041377,0.035359,-0.027318,-0.492007,-1.410000,0.816840,-0.601456,0.003454,0.036799,-0.266708,-1.361945,-0.142979,0.908804,-0.057814,0.029741
0.766667,-0.037861,0.046608,-0.036580,-0.531523,-1.390000,0.872059,-0.618155,-0.000938,0.043391,-0.257410,-1.371988,-0.185296,0.903014,-0.053474,-0.009685
0.800000,-0.040673,0.041086,-0.028415,-0.533568,-1.371531,0.915601,-0.636639,-0.003265,0.033172,-0.259062,-1.375634,-0.214253,0.933359,-0.064510,-0.022883
0.833333,-0.050525,0.042201,-0.020207,-0.539859,-1.370934,0.959142,-0.680429,-0.007174,0.039566,-0.286976,-1.354743,-0.274659,0.993668,-0.053837,0.001630
0.866667,-0.043464,0.042201,0.006716,-0.562066,-1.370934,0.980425,-0.735453,-0.017175,0.042993,-0.320235,-1.351709,-0.338464,1.030664,-0.028794,-0.000619
0.900000,-0.042270,0.025041,0.017534,-0.590940,-1.370934,1.041475,-0.771989,-0.013682,0.041156,-0.353494,-1.362560,-0.390329,1.042995,-0.026038,0.013822
0.933333,-0.042067,0.013792,0.015888,-0.611365,-1.388585,1.073073,-0.807741,0.003463,0.053752,-0.389319,-1.351517,-0.422831,1.079702,-0.030434,0.051988
0.966667,-0.033047,0.022522,0.013639,-0.669262,-1.384706,1.104087,-0.861226,0.026266,0.061935,-0.385145,-1.363739,-0.459406,1.115353,-0.014800,0.062965
1.000000,-0.020202,0.010495,0.010343,-0.696059,-1.382954,1.135100,-0.896576,0.038910,0.070128,-0.372218,-1.366774,-0.461323,1.152251,-0.003791,0.068202
1.033333,-0.021351,0.010495,-0.008046,-0.746940,-1.382954,1.188373,-0.928622,0.054658,0.074441,-0.384783,-1.340386,-0.484024,1.187606,-0.018365,0.064304
1.066667,-0.025735,0.009540,-0.014982,-0.788178,-1.382954,1.231800,-0.947317,0.066952,0.057865,-0.369662,-1.340113,-0.490900,1.221231,-0.048692,0.080568
1.100000,-0.028956,0.009540,-0.030868,-0.807436,-1.365303,1.294664,-0.951147,0.068529,0.034523,-0.379485,-1.321733,-0.517138,1.217892,-0.055243,0.078014
1.133333,-0.034517,0.011516,-0.051753,-0.804570,-1.379036,1.340122,-0.966705,0.058095,0.038269,-0.408011,-1.290504,-0.540461,1.217854,-0.070251,0.072575
1.166667,-0.059941,0.017260,-0.057206,-0.792803,-1.381384,1.356768,-0.963137,0.026238,0.024719,-0.459029,-1.299275,-0.564951,1.226603,-0.070743,0.033158
1.200000,-0.055274,0.017260,-0.042400,-0.766813,-1.381384,1.342537,-0.956405,0.023301,0.031120,-0.471944,-1.303398,-0.551492,1.220210,-0.043065,0.029638
1.233333,-0.062148,0.028784,-0.054713,-0.750466,-1.372848,1.338151,-0.959434,0.010983,0.050937,-0.512546,-1.307522,-0.565799,1.228598,-0.015388,0.011366
1.266667,-0.069022,0.038524,-0.027026,-0.774119,-1.390047,1.343781,-0.978114,0.018485,0.063261,-0.535741,-1.315809,-0.552178,1.236985,-0.027710,-0.013461
1.300000,-0.072831,0.039922,-0.013659,-0.780003,-1.398662,1.368658,-0.965095,0.019763,0.065537,-0.547602,-1.345904,-0.529778,1.217360,-0.032167,-0.016782
1.333333,-0.060072,0.043369,-0.010397,-0.825887,-1.398662,1.414104,-0.985143,0.034830,0.061568,-0.541408,-1.335998,-0.539137,1.197735,-0.068224,-0.007374
1.366667,-0.041908,0.043369,-0.017978,-0.861140,-1.398662,1.490427,-1.018874,0.054032,0.056812,-0.533315,-1.360162,-0.558928,1.186257,-0.111277,-0.017060
1.400000,-0.023745,0.031845,-0.010397,-0.866418,-1.407198,1.537054,-1.035982,0.064593,0.055546,-0.522804,-1.344326,-0.545048,1.173883,-0.114329,-0.011992
1.433333,-0.010243,0.042105,-0.034026,-0.871697,-1.390536,1.569788,-1.041919,0.040496,0.048314,-0.503113,-1.352555,-0.540052,1.167457,-0.097153,0.007598
1.466667,-0.003911,0.030002,-0.050777,-0.876869,-1.369712,1.592872,-1.061169,0.040701,0.024043,-0.482654,-1.338657,-0.524878,1.173043,-0.106217,0.017571
1.500000,0.002427,0.020000,-0.044458,-0.882040,-1.368887,1.593658,-1.072692,0.048575,0.024642,-0.480251,-1.356416,-0.474164,1.165614,-0.077327,0.029384
1.533333,-0.009483,0.020000,-0.045823,-0.893524,-1.361098,1.589758,-1.078799,0.020290,0.020996,-0.507476,-1.336348,-0.450088,1.170866,-0.034090,0.041904
1.566667,-0.021393,0.029425,-0.032567,-0.920537,-1.333308,1.575553,-1.102438,0.004591,0.000443,-0.502947,-1.349530,-0.451350,1.149145,0.002841,0.029846
1.600000,-0.037777,0.014741,-0.027158,-0.934224,-1.344983,1.575243,-1.097248,0.006375,-0.006456,-0.485005,-1.342107,-0.453425,1.153930,0.019544,0.030339
1.633333,-0.021255,0.014741,0.004257,-0.951824,-1.358700,1.568191,-1.081097,-0.023952,0.006079,-0.495429,-1.316811,-0.446661,1.134716,0.055454,0.018550
1.666667,-0.024772,0.023427,0.025565,-0.955006,-1.359524,1.564476,-1.036867,-0.043854,0.005436,-0.465854,-1.299858,-0.437167,1.088516,0.053410,0.010266
1.700000,-0.027928,0.023427,0.025565,-0.953057,-1.359540,1.559250,-0.998052,-0.023756,0.002360,-0.444840,-1.320732,-0.430605,1.055710,0.021373,0.020370
1.733333,-0.016048,0.034002,0.003247,-0.953219,-1.373471,1.578723,-0.980404,0.004050,0.028577,-0.437288,-1.308356,-0.412026,1.062384,-0.022358,0.054841
1.766667,0.004592,0.028686,0.007462,-0.926707,-1.347401,1.598196,-0.962756,0.027677,0.034160,-0.448797,-1.328356,-0.405479,1.036605,-0.042670,0.062237
1.800000,0.000062,0.031648,0.001782,-0.928578,-1.340650,1.609492,-0.952291,0.050006,0.047067,-0.460154,-1.356915,-0.398932,1.027154,-0.049254,0.081950
1.833333,-0.011496,0.032360,-0.032501,-0.932235,-1.340650,1.607993,-0.981827,0.041007,0.039317,-0.486944,-1.377244,-0.423162,1.057703,-0.055075,0.083587
1.866667,-0.005477,0.032360,-0.026947,-0.919566,-1.338300,1.592839,-0.982144,0.008210,0.026472,-0.489298,-1.368551,-0.430720,1.090159,-0.050577,0.047019
1.900000,-0.010948,0.016068,-0.008694,-0.901403,-1.352035,1.566204,-0.949184,-0.019120,0.006468,-0.485185,-1.374724,-0.418625,1.082615,-0.029402,0.010663
1.933333,-0.044932,0.024167,-0.006187,-0.911296,-1.365770,1.499569,-0.936449,-0.047410,0.016998,-0.477152,-1.360706,-0.398130,1.075072,-0.031646,-0.013969
1.966667,-0.049022,0.021206,-0.020893,-0.892621,-1.379505,1.446629,-0.954178,-0.057441,0.003831,-0.474301,-1.372476,-0.377635,1.071808,-0.042137,-0.020449
2.000000,-0.025106,0.011808,-0.004093,-0.886578,-1.368622,1.433688,-0.932778,-0.051131,0.017847,-0.456018,-1.352476,-0.326363,1.028545,-0.030677,-0.008289
2.033333,-0.032853,0.030462,-0.001442,-0.915100,-1.367512,1.439480,-0.926997,-0.036333,0.050762,-0.462369,-1.354032,-0.267762,0.949154,-0.039543,0.012385
2.066667,-0.040423,0.026754,-0.005750,-0.921448,-1.339475,1.437827,-0.930526,-0.033528,0.061543,-0.455897,-1.353145,-0.231451,0.886166,-0.056911,-0.006941
2.100000,-0.022498,0.018655,-0.004541,-0.919543,-1.351438,1.457372,-0.943340,-0.023382,0.060753,-0.474285,-1.348718,-0.209740,0.863178,-0.034279,0.002008
2.133333,-0.027652,0.024362,-0.002827,-0.935914,-1.343867,1.500991,-0.928879,-0.034107,0.058111,-0.462679,-1.314759,-0.188029,0.859581,-0.041390,0.006475
2.166667,-0.062375,0.024362,-0.000641,-0.914894,-1.354749,1.531797,-0.943395,-0.021726,0.027751,-0.491073,-1.320800,-0.189809,0.894225,-0.071216,0.001407
2.200000,-0.066407,0.005707,-0.002974,-0.899309,-1.348918,1.523722,-0.947035,0.000284,-0.002609,-0.481079,-1.300704,-0.175591,0.928869,-0.061041,0.009115
2.233333,-0.034162,0.012387,0.004024,-0.912438,-1.340013,1.509876,-0.974640,-0.005714,-0.026370,-0.499008,-1.268186,-0.170747,0.987110,-0.041041,0.043290
2.266667,-0.032636,0.032144,0.027856,-0.939561,-1.331108,1.511174,-0.982450,-0.018286,-0.046137,-0.508532,-1.235181,-0.165904,1.042847,-0.061041,0.037465
2.300000,-0.033658,0.026539,0.039076,-0.950224,-1.319586,1.489958,-0.997247,0.008844,-0.032231,-0.515702,-1.237363,-0.176585,1.058584,-0.063920,0.030286
2.333333,0.005319,0.042468,0.038107,-0.998278,-1.313345,1.460570,-0.996039,-0.004025,-0.008531,-0.482871,-1.239545,-0.163775,1.036081,-0.031693,0.054003
2.366667,0.029413,0.042468,0.017949,-1.006333,-1.304170,1.471181,-1.019307,-0.011214,0.000492,-0.450040,-1.243801,-0.190965,1.036661,-0.034486,0.074266
2.400000,0.013506,0.035788,0.004849,-1.025673,-1.324146,1.496428,-1.015151,-0.000056,0.033392,-0.429286,-1.278977,-0.226488,1.037241,-0.037489,0.069022
2.433333,0.018782,0.029435,-0.027291,-1.019269,-1.304123,1.495471,-1.001281,0.019535,0.054201,-0.411609,-1.327255,-0.233386,1.000325,-0.036315,0.071045
2.466667,0.045277,0.029334,-0.019432,-1.014045,-1.282329,1.514422,-0.988424,0.028224,0.068418,-0.426280,-1.341601,-0.234167,0.984588,-0.018255,0.070058
2.500000,0.031772,0.013404,-0.015772,-1.008821,-1.265552,1.530873,-0.988963,0.044302,0.078304,-0.440952,-1.323824,-0.234948,0.988862,-0.015115,0.041223
2.533333,0.012987,0.021142,0.004291,-1.032930,-1.258775,1.543086,-0.949503,0.023012,0.076352,-0.469880,-1.297575,-0.235729,0.989504,-0.007345,-0.007242
2.566667,0.006336,0.022216,0.034758,-1.017038,-1.258012,1.543628,-0.901644,0.013606,0.049727,-0.482054,-1.250163,-0.196511,0.950147,-0.017217,-0.034121
2.600000,0.005725,0.009654,0.050184,-1.023185,-1.277037,1.543599,-0.893785,0.002696,0.042770,-0.459557,-1.213864,-0.145917,0.923798,-0.013136,-0.028268
2.633333,-0.021885,0.030496,0.042152,-1.037572,-1.298938,1.527190,-0.905203,-0.032815,0.032089,-0.420456,-1.211499,-0.085917,0.916269,-0.017661,-0.053569
2.666667,-0.025193,0.050620,0.019188,-1.032767,-1.294922,1.534265,-0.895549,-0.048012,0.016907,-0.395240,-1.230067,-0.065917,0.928730,-0.010897,-0.078738
2.700000,-0.026219,0.044467,0.017678,-1.024552,-1.300348,1.505579,-0.885896,-0.042660,0.028241,-0.374806,-1.248634,-0.005917,0.921739,-0.002838,-0.063908
2.733333,-0.018408,0.051633,-0.007432,-1.056337,-1.270610,1.513929,-0.912065,-0.061723,0.052510,-0.331125,-1.270118,0.054083,0.914747,-0.016925,-0.038501
2.766667,-0.023972,0.050791,-0.020573,-1.066036,-1.261084,1.516061,-0.910508,-0.068580,0.042026,-0.327444,-1.291602,0.114083,0.894747,-0.032080,-0.013093
2.800000,-0.018334,0.029985,-0.022253,-1.073347,-1.260931,1.515829,-0.881294,-0.060555,0.046139,-0.331311,-1.273086,0.134083,0.870037,-0.043155,0.012314
2.833333,-0.015390,0.009861,0.011145,-1.077051,-1.252879,1.498570,-0.878881,-0.049949,0.058571,-0.321292,-1.244870,0.194083,0.805328,-0.084160,0.050628
2.866667,0.006719,0.008275,0.004543,-1.094832,-1.265382,1.481310,-0.876469,-0.062528,0.071002,-0.292236,-1.216655,0.254083,0.740618,-0.096073,0.048942
2.900000,0.007857,0.007172,0.005838,-1.072613,-1.296543,1.444733,-0.865074,-0.040920,0.078168,-0.303179,-1.209304,0.274083,0.715908,-0.095691,0.050869
2.933333,0.005977,0.014308,0.015163,-1.047268,-1.307704,1.424805,-0.861404,-0.029017,0.100088,-0.314123,-1.181953,0.254083,0.731199,-0.092371,0.032797
2.966667,-0.015693,0.041409,0.031635,-1.009347,-1.326965,1.388459,-0.845392,-0.022173,0.108901,-0.334123,-1.194602,0.234083,0.711199,-0.118534,0.014725
3.000000,-0.024677,0.048545,0.017074,-0.954226,-1.362053,1.329142,-0.836410,-0.028440,0.108432,-0.364981,-1.228140,0.174083,0.691199,-0.106239,-0.016689
3.033333,-0.053726,0.048545,0.016805,-0.859105,-1.376894,1.269824,-0.867197,-0.011966,0.098315,-0.429519,-1.287342,0.074083,0.692684,-0.100748,-0.008103
3.066667,-0.055519,0.061409,0.009961,-0.763983,-1.393323,1.189824,-0.894018,-0.025511,0.074726,-0.475453,-1.333006,-0.025917,0.665107,-0.087076,-0.025313
3.100000,-0.068815,0.073025,-0.016882,-0.663983,-1.391947,1.089824,-0.900839,-0.050182,0.059091,-0.481386,-1.375892,-0.125917,0.628099,-0.053403,-0.022522
3.133333,-0.052129,0.045888,-0.042167,-0.563983,-1.391947,0.989824,-0.941797,-0.058201,0.044044,-0.485402,-1.401556,-0.225917,0.623435,-0.018462,-0.008639
3.166667,-0.029738,0.038752,-0.046497,-0.500040,-1.371947,0.889824,-0.981250,-0.056820,0.036953,-0.478560,-1.407221,-0.285917,0.621391,0.016479,0.022427
3.200000,-0.026303,0.038752,-0.029736,-0.436097,-1.372194,0.789824,-1.020932,-0.064481,-0.000490,-0.463871,-1.407221,-0.345917,0.637861,0.023888,0.043064
