time_sec,joint_pelvisYaw,joint_pelvisPitch,joint_pelvisRoll,joint_lShoulderPitch,joint_lShoulderRoll,joint_lShoulderYaw,joint_lElbow,joint_lWristRoll,joint_lWristPitch,joint_rShoulderPitch,joint_rShoulderRoll,joint_rShoulderYaw,joint_rElbow,joint_rWristRoll,joint_rWristPitch
0.000000,-0.010285,0.028924,0.006168,-0.264407,-1.167111,0.509095,-1.397429,0.024473,-0.018486,-0.468326,-1.093732,-0.105718,1.570000,-0.010053,-0.001408
0.033333,0.001460,0.021699,0.012374,-0.262425,-1.150929,0.537865,-1.389623,0.035283,-0.009374,-0.476867,-1.072634,-0.138768,1.550448,-0.006866,-0.004132
0.066667,-0.005795,0.025056,0.007814,-0.270817,-1.153597,0.558333,-1.388130,0.031291,-0.003672,-0.484335,-1.052878,-0.156582,1.550448,-0.001853,-0.007383
0.100000,-0.005199,0.026529,0.003718,-0.281656,-1.145406,0.583851,-1.386995,0.021534,-0.002841,-0.485039,-1.040682,-0.181205,1.550448,-0.002407,-0.005805
0.133333,-0.011857,0.031296,-0.000392,-0.309703,-1.168785,0.597867,-1.398796,0.010986,-0.001003,-0.484566,-1.033153,-0.167427,1.570000,-0.012353,-0.001868
0.166667,-0.034267,0.031934,-0.019369,-0.312911,-1.171862,0.626085,-1.389337,0.011912,-0.018229,-0.477905,-1.011287,-0.165438,1.570000,-0.004047,-0.008422
0.200000,-0.033368,0.036135,-0.025972,-0.332521,-1.169476,0.680047,-1.378169,0.014373,-0.021107,-0.475392,-1.000666,-0.188293,1.570000,0.005437,0.004178
0.233333,-0.028700,0.030734,-0.021368,-0.352437,-1.182682,0.706297,-1.377423,0.015670,-0.025721,-0.469369,-1.000369,-0.175420,1.569072,0.000563,0.006084
0.266667,-0.035144,0.029714,-0.028170,-0.349907,-1.219637,0.714607,-1.372734,0.028155,-0.037619,-0.459978,-0.975040,-0.136552,1.565316,-0.009936,0.012372
0.300000,-0.040134,0.038671,-0.028931,-0.362598,-1.231731,0.746715,-1.365005,0.032230,-0.031878,-0.463248,-0.971110,-0.136720,1.565316,-0.007175,0.021533
0.333333,-0.024737,0.037264,-0.011650,-0.390764,-1.247361,0.765439,-1.369055,0.028025,-0.024257,-0.463756,-0.985916,-0.133402,1.564099,-0.010611,0.022141
0.366667,-0.018630,0.033100,-0.005505,-0.396871,-1.248521,0.752965,-1.349590,0.036941,-0.008081,-0.472015,-0.975860,-0.122950,1.550986,-0.029228,0.011907
0.400000,-0.015753,0.046419,-0.004672,-0.397356,-1.252035,0.764564,-1.337634,0.033735,-0.006144,-0.461289,-0.953564,-0.149786,1.543586,-0.037952,0.024085
0.433333,-0.008261,0.044519,0.008061,-0.418641,-1.248446,0.784079,-1.330236,0.029552,0.008015,-0.472830,-0.968742,-0.176267,1.547342,-0.026415,0.012497
0.466667,0.000169,0.038970,0.012221,-0.414987,-1.249801,0.781205,-1.322697,0.026546,0.004136,-0.492270,-0.973647,-0.192699,1.547342,-0.022248,0.003552
0.500000,0.003137,0.039303,0.011087,-0.415064,-1.269762,0.772523,-1.317850,0.025994,0.009939,-0.497424,-0.959067,-0.219280,1.545750,-0.019241,0.017617
0.533333,-0.002307,0.041793,0.015809,-0.409043,-1.308999,0.771747,-1.318381,0.014377,-0.001958,-0.497092,-0.971294,-0.219688,1.558863,-0.010749,0.017742
0.566667,0.003653,0.035226,0.021188,-0.413575,-1.336270,0.757728,-1.304974,0.026687,0.004387,-0.515999,-1.014603,-0.199731,1.567191,-0.002405,0.007268
0.600000,0.004602,0.037670,0.027171,-0.417714,-1.359673,0.754704,-1.277491,0.034880,0.012078,-0.532089,-1.037292,-0.208271,1.567191,-0.007501,0.010954
0.633333,-0.000860,0.031761,0.025239,-0.422930,-1.387713,0.754260,-1.255638,0.033699,0.010154,-0.511605,-1.030254,-0.205397,1.563301,-0.013784,0.011873
0.666667,-0.002287,0.032223,0.027007,-0.411424,-1.396648,0.773009,-1.211008,0.035827,0.010877,-0.525706,-1.049033,-0.202514,1.566111,-0.017392,-0.006205
0.700000,0.004479,0.027985,0.021116,-0.410823,-1.406600,0.787039,-1.190901,0.033358,-0.001969,-0.545110,-1.055102,-0.216867,1.566111,-0.016340,-0.009202
0.733333,-0.002585,0.021269,0.016057,-0.410802,-1.408518,0.805006,-1.173922,0.025932,-0.007954,-0.542973,-1.035643,-0.235377,1.565098,-0.014214,-0.007815
0.766667,-0.008966,0.022355,0.003203,-0.394167,-1.406752,0.826589,-1.151003,0.023751,-0.008580,-0.528251,-1.003867,-0.243928,1.562004,-0.019670,-0.005733
0.800000,-0.009796,0.030448,0.005778,-0.401393,-1.405549,0.848460,-1.135533,0.027465,0.003177,-0.528050,-1.006211,-0.251475,1.561976,-0.018721,0.002429
0.833333,-0.016222,0.025282,0.002914,-0.408001,-1.405843,0.847028,-1.143913,0.029894,-0.004366,-0.518861,-1.005844,-0.252112,1.561976,-0.014631,0.008269
0.866667,-0.027710,0.022464,-0.005387,-0.400681,-1.405843,0.852461,-1.137658,0.041141,0.000439,-0.496059,-0.978188,-0.253027,1.561976,-0.007513,0.018405
0.900000,-0.024979,0.032458,-0.005912,-0.402129,-1.405843,0.863082,-1.135724,0.041926,-0.004735,-0.494598,-0.982537,-0.259233,1.562988,-0.004080,0.019896
0.933333,-0.026686,0.029084,-0.001381,-0.417791,-1.407609,0.857849,-1.153011,0.035358,-0.020547,-0.499204,-0.986055,-0.252961,1.562711,0.006055,0.012641
0.966667,-0.027852,0.027661,-0.018827,-0.419992,-1.390000,0.868955,-1.165993,0.047342,-0.028193,-0.522129,-0.995452,-0.249062,1.566629,0.013631,0.003631
1.000000,-0.017682,0.036552,-0.021829,-0.426797,-1.381199,0.873588,-1.174372,0.043592,-0.022474,-0.514042,-0.991151,-0.260748,1.566629,0.017107,0.010232
1.033333,-0.013823,0.044234,-0.014177,-0.435912,-1.381199,0.859562,-1.185050,0.034618,-0.014191,-0.519262,-1.014232,-0.252894,1.566624,0.006331,0.000139
1.066667,-0.020296,0.047551,-0.020116,-0.418857,-1.364099,0.820387,-1.209849,0.027793,-0.005670,-0.523921,-1.011284,-0.237262,1.566624,-0.000391,-0.005715
1.100000,-0.015987,0.052711,-0.017438,-0.416749,-1.348876,0.807429,-1.250240,0.023150,0.003052,-0.529848,-1.020034,-0.255113,1.569995,0.002477,0.005596
1.133333,-0.013125,0.048979,-0.000776,-0.407150,-1.333653,0.757654,-1.291418,0.004362,0.000208,-0.515090,-1.005188,-0.254688,1.565862,-0.006482,0.006589
1.166667,-0.017805,0.058786,0.002215,-0.394448,-1.292779,0.717683,-1.317890,-0.001968,0.000750,-0.520243,-0.989217,-0.248689,1.560389,-0.018268,0.007331
1.200000,-0.021429,0.055846,0.006615,-0.391033,-1.243150,0.688292,-1.366796,0.004444,-0.000340,-0.519251,-0.974023,-0.263409,1.555891,-0.019090,0.020429
1.233333,-0.008471,0.040499,0.011338,-0.397164,-1.208404,0.668153,-1.401498,0.007108,-0.010641,-0.522792,-0.980303,-0.271940,1.553591,-0.013076,0.023547
1.266667,-0.003600,0.037342,0.006609,-0.381721,-1.168953,0.623869,-1.401400,0.021342,-0.006495,-0.518923,-0.990564,-0.247938,1.553591,-0.031171,0.017655
1.300000,0.002341,0.034985,0.002409,-0.375995,-1.154587,0.610667,-1.411752,0.024503,-0.009716,-0.523839,-0.984421,-0.259092,1.557724,-0.032414,0.020523
1.333333,0.002708,0.018134,0.010069,-0.387691,-1.153588,0.598974,-1.433734,0.033711,-0.005996,-0.527108,-1.009935,-0.248948,1.563197,-0.024549,0.012457
1.366667,0.015156,0.013392,0.009352,-0.400329,-1.149729,0.582252,-1.432721,0.030818,-0.003258,-0.550502,-1.022936,-0.239979,1.567700,-0.032306,-0.007807
1.400000,0.006495,0.016511,0.007529,-0.410333,-1.156446,0.596278,-1.439716,0.037770,0.001777,-0.552926,-1.033838,-0.242660,1.570000,-0.036028,-0.009612
1.433333,0.004140,0.016063,0.013939,-0.413744,-1.151990,0.634450,-1.445739,0.026958,-0.004969,-0.557617,-1.025556,-0.271818,1.562060,-0.018808,-0.014005
